sentence,profane
Dili ko naga sulob ug sapatos sa sulud sa akoang panimalay.,0
Nagpahuway lang kadiyot dayon nagluto alang sa panihapon.,0
Makasabot siya sa dili masabtan sa uban,0
Sigeg kamatay ang mga iro.,0
Namatay akong lolo tulo ka tuig na ang milabay.,0
Namatay siya sa edad nga sitenta.,0
Naa batay mabuhat?,0
Kanunaya nga hinlo ang inyong panimalay.,0
Dili ko makaingon nga nakuyawanko.,1
Nisaka og mga napulo kaporsyento ang ihap sa depresyon ilabina ang pagpakamatay sa nialabay nga pulo ka tuig.,0
Gihungitan ni Danny ang bata og biko.,0
Ginahungitan ni Danny ang bata og biko.,0
Hungitan ni Danny ang bata og biko.,0
Gihungitan sa amahan ang bata og biko.,0
Ginahungitan sa amahan ang bata og biko.,0
Daghang siyopaw si Silvestre sa balay niya.,0
Kung tirahon ka og bato,0
Kung mao,0
Nangamatay ang mga kahoy.,0
Nagbangotan si Carla sa pagkamatay sa iyang iro: Ang akong kasingkasing naguba pag-usab.,0
Daghan ang gibunot ni Alden sa bag-ong naandan nga pagshooting sa GMA Christmas Station ID.,0
Kugihan si tatay .,0
Mananom sila Tatay ug mais sa pikas bukid .,0
Ayaw pagpakabuang diha !,1
Mogahi ang lawas inigkamatay .,0
Nagkadako ang gamaw sa submarino .,0
Pasayawa siya !,1
Abi kog nahigugma ka kanako,0
Matay pa ko !,0
Naunsa ka,0
Tingali ang pagkabuang sumbanon sa imong pamilyaha .,1
Karon gisumpong siya sa iyang kabuang na pod .,1
Gibuang ko sa bugsikan .,1
Ang sayong kamatayon lang napugnan sa katigulangon .,0
May tigulang nga babae nga gisunog sa kamatayon .,0
Makapasubo nako ang maghunahuna sa iyang kamatayon .,0
Patay ba o buhi pa ang bagtok ?,0
Nangabuang sila nimo .,1
Kaliwat ko og Zamboanggahanon !,0
Nabuang na sila nimo .,1
Nangaboang sila nimo .,0
Hingkod na ang panahon sa panimalus .,0
Binuang ang pagpakamatay tungod sa kahadlok sa mga migrante .,0
Linibo nay nangamatay tungod sa pagpanghasi .,0
Ang buhatan ni Rosi sa pampaman .,0
Nagpampam lang si Rosi kay gusto siya ug kwartang sayon .,0
Nagpakaburikat lang si Rosi kay gustog sayon nga kwarta .,0
Sayo nga kamatayon lang magpugong sa katigulangon .,0
Nagpampam siya kay gusto siya ug kwartang sayon .,0
Naboang ka ?,0
Kugihan si tatay.,0
Ayaw pagpakabuang diha!,1
Mogahi ang lawas inigkamatay.,0
Nagkadako ang gamaw sa submarino.,0
Pasayawa siya!,1
Matay pa ko!,0
Tingali ang pagkabuang sumbanon sa imong pamilyaha.,1
Karon gisumpong siya sa iyang kabuang na pod.,1
Gibuang ko sa bugsikan.,1
Ang sayong kamatayon lang napugnan sa katigulangon.,0
Sayo nga kamatayon lang magpugong sa katigulangon.,0
Hingkod na ang panahon sa panimalus.,0
Binuang ang pagpakamatay tungod sa kahadlok sa mga migrante.,0
Ang buhatan ni Rosi sa pampaman.,0
Nagpampam lang si Rosi kay gusto siya ug kwartang sayon.,0
Nagpampam siya kay gusto siya ug kwartang sayon.,0
Mananom sila Tatay ug mais sa pikas bukid.,0
Naboang ka?,0
Tatay mo ba siya?,0
Mamahuway ta ug kadiyot/kadali.,0
Daghang tawong nangamatay sa linog.,0
Kadiyot.,0
Patay kadto nga tawo.,0
Giayos ni tatay ang sakyanan.,0
Patay na siya napulo na ka tuig ang nilabay.,0
Mihunong ang musika kadiyot.,0
Namatay na kadtong mga bulak.,0
Mamatay ang tanum nga walay tubig.,0
Ug miingon ang Dios: Magpatubo ang yuta ug mga binuhat nga buhi ingon sa ilang matang,0
Ug gibuhat sa Dios ang mga mananap sa yuta ingon sa ilang matang,0
Ug miingon ang Dios: Buhaton nato ang tawo sumala sa atong dagway,0
Apan sa kahoy nga sa pag-ila sa maayo ug sa dautan,0
Ug gihatagan ni Adam ug mga ngalan ang tanan nga kahayopan ug ang mga langgam sa kalangitan ug ang tanan nga mga mananap sa kapatagan; apan alang kang Adam walay hingkaplagan nga katabang nga angay kaniya.,0
Apan sa bunga sa kahoy nga anaa sa taliwala sa tanaman,0
Ug si Jehova nga Dios nag-ingon sa bitin: Tungod kay ikaw nagbuhat niini,0
Ug nahitabo,0
Ania karon ginaabug mo ako niining adlawa gikan sa nawong sa yuta,0
Ug si Ada nanganak kang Jabal,0
Ug si Lamech miingon sa iyang mga asawa: Ada ug Zilla,0
Kong sa pito ka pilo pagapanimalusan si Cain,0
Ug giila pag-usab ni Adam ang iyang asawa,0
Ug ang tanan nga mga adlaw sa kinabuhi ni Adam siyam ka gatus ug katloan ka tuig,0
Ug ang tanan nga mga adlaw ni Seth siyam ka gatus ug napulo ug duha ka tuig,0
Ug ang tanan nga mga adlaw ni Enos,0
Ug ang tanan nga mga adlaw ni Cainan siyam ka gatus ug napulo ka tuig,0
Ug ang tanan nga mga adlaw ni Mahalaleel,0
Ug ang tanan nga mga adlaw ni Jared siyam ka gatus kan-uman ug duha ka tuig,0
Ug ang tanan nga mga adlaw ni Mathusalam siyam ka gatus kan-uman ug siyam ka tuig,0
Ug ako,0
Ug si Jehova miingon kang Noe: Sumulod ka ug ang tibook mong panimalay sa arca; kay ikaw nakita ko nga matarung sa akong atubangan niining kaliwatana.,0
Sila,0
Ug nangamatay ang tanan nga unod nga nagalihok sa ibabaw sa yuta,0
Ang tanan nga may gininhawa sa espiritu sa kinabuhi sa ilang mga ilong,0
Ug gilaglag ang tanang butang nga may kinabuhi sa ibabaw sa nawong sa yuta,0
Ug nahinumdum ang Dios kang Noe ug sa tanan nga mga mananap ug sa tanang kahayupan nga didto uban kaniya sa arca.,0
Ug ipagula mo uban kanimo ang tanan nga mga mananap nga anaa uban kanimo,0
Ug sa tanan nga binuhat nga buhi nga anaa uban kaninyo,0
Tungod niini kanila gibahinbahin ang kapupud-an sa mga nasud sa ilang mga yuta,0
Ug ang mga adlaw ni Tare duha ka gatus ug lima ka tuig,0
Ug siya nagbuhat ug maayo kang Abram tungod kaniya; ug siya may mga carnero,0
Apan gihampak ni Jehova si Faraon ug ang iyang panimalay pinaagi sa dagkung mga hampak,0
Ug si Abram dato kaayo sa kahayupan,0
Ug dihay pagkabingkil sa mga magbalantay sa kahayupan ni Abram ug sa mga magbalantay sa kahayupan ni Lot.,0
Ug sa tuig nga ikapulo ug upat miabut si Chedorlaomer,0
Ug sila gibahinbahin niya sa kagabhion,0
Ug mitubag si Abram: O,0
Ug si Abram miingon: Ania karon,0
Ug si Sarai,0
Ug si Sarai nga asawa ni Abram,0
Ug ihatag ko kanimo ug sa imong kaliwatan sa ulahi nimo,0
Ug magkuha ako ug usa ka hungit nga tinapay,0
Kay siya naila ko,0
Ania karon,0
Apan ang Dios miadto kang Abimelech nga sa damgo sa kagabhion ug siya miingon kaniya: Tan-awa,0
Ug kong dili mo pag-iuli siya,0
Kay giserhan gayud ni Jehova ang tanan nga taguangkan sa panimalay ni Abimelech tungod kang Sara nga asawa ni Abraham.,0
Ug milakaw siya,0
Busa karon,0
Ug gituy-od ni Abraham ang iyang kamot,0
Ug mitindog si Abraham sa atubangan sa iyang minatay,0
Lumalangyaw ug dumuloong ako sa taliwala ninyo; hatagi ako ninyo ug panulondon nga lubnganan uban kaninyo ug pagalubnganan ko sa akong minatay halayo sa akong mga mata.,0
Patalinghugi kami,0
Ug siya misulti kanila nga nagaingon: Kong kamo may kabubut-on nga ako magalubong sa akong minatay bulag sa akong mata,0
Dili,0
Ug mitubag siya kang Ephron,0
Ginoo ko,0
Ug siya miingon kanako: Si Jehova,0
Ug gipasulod siya ni Isaac ngadto sa balongbalong sa iyang inahan nga si Sara,0
Ug gitugyan ni Abraham ang espiritu,0
Ug nahitabo sa tapus ang kamatayon ni Abraham,0
Ug kini sila mao ang mga anak nga lalake ni Ismael,0
Ug kini mao ang mga tuig sa kinabuhi ni Ismael,0
Ug si Isaac mitubag kaniya,0
Ug nakapanag-iya siya sa mga panon sa mga carnero,0
Ug gikalot pag-usab ni Isaac ang mga atabay sa tubig,0
Ug ang mga magbalantay sa kahayupan sa Gerar nanagpakig-away sa mga magbalantay sa kahayupan ni Isaac,0
Ug si Isaac mipatindog didto ug usa ka halaran,0
Ug miingon siya: Tan-awa karon,0
Ug buhatan mo ako ug makaon nga lamian,0
Dad-an mo ako nganhi ug inayaman,0
Ug dad-on mo kini sa imong amahan,0
Ug gisuginlan si Rebeca sa mga pulong ni Esau nga iyang anak nga kamagulangan; ug iyang gipasugoan ug gipatawag si Jacob nga anak niya nga kamanghuran,0
Ug miingon siya: Tan-awa,0
Ug sa pagtan-aw ni Raquel nga siya wala makahatag ug mga anak kang Jacob,0
Ug si Jacob nasuko batok kang Raquel,0
Ug siya mitubag kaniya: Ikaw nahibalo kong unsa ang pag-alagad ko kanimo,0
Kay diriyut pa ang imo,0
Moadto ako karon sa tanan mong panon sa mga carnero,0
Ug gilain niya niadtong adlawa ang mga lake nga kanding nga binugkan,0
Ug gibutang niya ang mga sanga nga magagmay nga iyang gipanitan didto sa atbang sa kahayupan sa pasungan nga paimnanan,0
Sa ingon niini gikuha sa Dios ang kahayupan sa imong amahan,0
Ug iyang gidala ang iyang tanan nga kahayupan,0
Diha ako magpuyo sa imong balay sulod sa kaluhaan ka tuig; napulo ug upat ka tuig ako nag-alagad kanimo tungod sa imong duruha ka mga anak nga babaye,0
Ug ako adunay mga vaca,0
Ug siya miingon kaniya: Ang akong ginoo nahibalo nga ang mga bata mga linghud,0
Umuna ka karon,0
Ug si Jacob migikan padulong sa Succoth,0
Karon nakadungog si Jacob nga si Dina anak niya nga babaye gihugawan ni Sichem; ug ang iyang mga anak nga lalake didto sa iyang kahayupan sa kapatagan; ug si Jacob nagpakahilum lamang hangtud nga sila nangabut.,0
Ug ang batan-ong lalake wala maglangan sa pagbuhat niadto,0
Dili ba ang ilang kahayupan ug ang ilang bahandi,0
Ug nahitabo sa ikatolo ka adlaw,0
Ang mga anak nga lalake ni Jacob nangadto sa mga nangamatay ug nanagpanulis sila sa lungsod tungod kay gihugawan nila ang ilang igsoon nga babaye.,0
Unya miingon si Jacob kang Simeon ug kang Levi: Nagpagubut kamo kanako sa pagbuhat kanako nga dinumtan sa mga pumoluyo niining yutaa,0
Unya si Jacob miingon sa iyang panimalay,0
Ug ang mga anak nga lalake ni Bilha,0
Ug ang mga anak nga lalake ni Zilpa,0
Ug mihalin ang espiritu ni Isaac,0
Ug gidala ni Esau ang iyang mga asawa,0
Kay ang ilang bahandi daku da kong mag-usa sila sa pagpuyo,0
Ug ang iyang mga igsoon nanagpangadto sa pagpasibsib sa kahayupan sa ilang amahan sa Sichem.,0
Ug siya miingon kaniya. Umadto ka karon,0
Apan siya hingkit-an nila didto sa halayo,0
Ug miingon kanila si Ruben: Dili kamo magpatulo ug dugo; ihulog siya niining gahong nga anaa sa kamingawan,0
Ug sa miagi ang daghang mga adlaw,0
Siya dili labaw kay kanako niining balaya,0
Ikaw magagahum sa akong panimalay,0
Ug gihinganlan ni Jose ang ngalan sa panganay si Manases; kay,0
Lumugsong kamo ngadto,0
Kong kamo mga tawo nga matuod,0
Ug dad-on ninyo dinhi kanako ang inyong igsoon nga lalake nga kamanghuran; sa ingon niana,0
Ug ang tawo,0
Ipadala uban kanako ang bata ug manindog ug mangadto kami,0
Kong kinsa sa imong mga ulipon nga kaniya hikaplagan ang copa,0
Ug kami mingtubag sa akong ginoo: Aduna kami ing amahan nga tigulang,0
Ug kami ming-ingon sa akong ginoo: Ang batan-on dili arang makabiya sa iyang amahan,0
Mahitabo nga kong dili niya makita ang bata uban kanamo,0
Ug siya nagminatay sa paghilak; ug nanagpakadungog ang mga Egiptohanon,0
Busa karon wala kamo magpadala kanako dinhi,0
Ug magapuyo ka sa yuta sa Gosen,0
Ug didto pagapakan-on ko ikaw,0
Ug miingon si Faraon kang Jose: Ingna ang imong mga igsoon: Buhata ninyo kini; luwanan ninyo ang inyong mga hayupan,0
Ug kuhaa ninyo ang inyong amahan,0
Ug ilang gidala ang ilang kahayupan,0
Ug ang mga anak nga lalake ni Juda: si Er,0
Ug si Jose miingon sa iyang mga igsoon nga lalake ug sa panimalay sa iyang amahan: Moadto ako ug magpahibalo ako kang Faraon,0
Ang akong mga igsoon nga lalake,0
Ug ang mga tawo mga magbalantay sa mga carnero,0
Nga magaingon kamo: Ang imong mga ulipon mga magbabaton sa kahayupan gikan pa sa among pagkabata hangtud karon,0
Ug ginapakaon ni Jose ug tinapay ang iyang amahan ug ang iyang mga igsoon nga lalake,0
Ug sa nahurot na ang salapi sa yuta sa Egipto,0
Ug si Jose miingon: Ihatag ninyo ang inyong kahayupan,0
Ug ilang gidala ang ilang kahayupan ngadto kang Jose; ug si Jose mihatag kanila ug mga makaon nga baylo sa mga kabayo,0
Ug sa tapus ang tuig,0
Ug mahitabo nga sa panahon sa ting-ani ihatag ninyo ang ikalima ka bahin kang Faraon,0
Ug nagkahaduol na ang mga adlaw sa pagkamatay ni Israel,0
Apan mahitungod kanako sa paggikan ko sa Padan-aram,0
Ug miingon si Israel kang Jose: Ania karon,0
O kalag ko,0
Ug sa miagi na ang mga adlaw sa pagbalata alang kaniya,0
Gipapanumpa ako sa akong amahan,0
Unya si Jose mitungas sa paglubong sa iyang amahan; ug mitungas uban kaniya ang tanang mga ulipon ni Faraon,0
Ug ang tibook nga panimalay ni Jose,0
Ug midangat sila sa yuta sa Atad nga pagagiukan sa trigo,0
Ug mipuyo si Jose sa Egipto,0
Mao kini ang mga ngalan sa mga anak ni Israel,0
Ug nahitabo tungod kay ang mga mananabang nahadlok sa Dios,0
Ug siya mitan-aw dinhi ug didto,0
Ug sa hingdunggan ni Faraon kini nga butanga,0
Ug nangabut ang mga magbalantay sa kahayupan,0
Ug nahatabo nga,0
Ug si Jehova miingon kang Moises didto sa Median: Lumakaw ka,0
Ug nahatabo didto sa dalan sa usa ka balay nga abutanan nga migula si Jehova nga misugat kaniya,0
Ug sila miingon: Ang Dios sa mga Hebreohanon nakigkita kanamo: nangaliyupo kami kanimo,0
Ug sila ming-ingon kanila: Si Jehova magtan-aw unta sa ibabaw ninyo,0
Ug si Jehova miingon kang Moises: Karon makita mo kong unsay buhaton ko kang Faraon: kay pinaagi sa kamot nga kusgan magatugot siya sa pagpalakat kanila,0
Kini mao ang mga pangulo sa mga panimalay sa ilang mga ginikanan: ang mga anak nga lalake ni Ruben,0
Ug ang mga anak nga lalake ni Cora: Si Aser ug si Elcana,0
Ug ang mga isda nga anaa sa suba mangamatay,0
Ug ang mga isda nga diha sa suba nangamatay; ug ang suba naglang-og,0
Ug si Jehova nagbuhat sumala sa pulong ni Moises,0
Ug si Faraon misugo; ug ania karon,0
Kay karon gibakyaw ko ang akong kamot ug gihampak ikaw,0
Siya nga nahadlok sa pulong ni Jehova sa kinataliwad-an sa mga sulogoon ni Faraon,0
Ug siya nga wala magtagad sa pulong ni Jehova,0
Ang among kahayupan magauban usab kanamo; walay mahabilin bisan usa ka koko; kay kanila magkuha kami sa among pag-alagad kang Jehova nga among Dios; ug kami wala mahibalo kong uban sa unsang butanga kinahanglan kami mag-alagad kang Jehova,0
Ug si Faraon miingon kaniya: Pahawa ka kanako: magbantay ka sa imong kaugalingon nga dili ka na makakita sa akong nawong,0
Ug ang tanan nga panganay sa yuta sa Egipto mangamatay,0
Magsulti kamo s atibook nga katilingban sa Israel nga magaingon: Sa ikapulo niining bulana sila magakuha ang tagsatagsa ug usa ka nating carnero sumala sa gidaghanon sa mga panimalay sa ilang mga amahan,0
Ug kong ang panimalay diriyut da nga dili makahurot sa pagkaon sa usa ka nating carnero,0
Ug ang dugo timaan sa mga balay diin kamo magapuyo; ug kong makita ko ang dugo molabay ako sa ibabaw kaninyo,0
Unya si Moises mitawag sa tsanan nga mga anciano sa Israel,0
Kamo managpanubag: Mao kini ang halad sa Pasko ni Jehova nga milabay ibabaw sa mgsa balay sa mga anak sa Israel didto sa Egipto,0
Ug mibangon niadtong gabhiona si Faraon,0
Ug ang mga Egiptohanon nagpilit sa katawohan aron sa madali manggula sila sa yuta; kay sila nanag-ingon: Kami mangamatay nga tanan.,0
Ug mipanaw usab uban kanila ang nagakasagul nga panon sa katawohan,0
Ug nahitabo nga si Faraon sa halus motugot kanamo sa pagpalakaw,0
Ug miingon sila kang Moises: Tungod ba kay walay mga lubnganan sa Egipto,0
Dili ba kini mao nga ginasulti namo kanimo sa Egipto nga nagaingon: Pasagdi lamang kami nga magaalagad sa mga Egiptohanon? Kay labing maayo pa kanamo ang pagalagad sa mga Egiptohanon,0
Ug ang panimalay sa Israel naghingalan niini nga Mana; ug kini maingon sa liso sa culantro,0
Ug ang katawohan giuhaw sa tubig; ug ang katawohan nagbagulbol batok kang Moises,0
Ug miingon si Moises kang Josue: Pagpili gikan kanato ug mga tawo ug gumula ka,0
Ug si Moises mitungas ngadto sa Dios,0
Ug si Jehova miingon kang Moises: Lumugsong ka ug sugoon mo ang katawohan tingali unya molabang sila sa utlanan sa pagtutok kang Jehova,0
Apan ang adlaw nga ikapito maoy usa ka adlaw nga igpapahulay alang kang Jehova nga imong Dios. Niining adlawa dili ka magbuhat,0
Ug miingon sila kang Moises: Makigsulti ka kanamo,0
Ug Kong ang usa ka tawo magapalabilabi batok sa iyang isigkatawo,0
Ug kong may mga tawo nga manag-away,0
Ug kong ang usa ka tawo magasamad sa iyang ulipon nga lalake kun sa iyang ulipon nga babaye uban sa bunal,0
Kong ang usa ka lalake kun usa ka babaye pagasungayon sa usa ka vaca,0
Apan kong ang maong vaca adunay batasan sa pagsungay sukad pa sa miaging panahon,0
Ug kong ang vaca sa usa ka tawo makasamad sa vaca sa iyang isigkatawo,0
Apan kong hibaloan nga ang vaca nga nakasungay adunay taras sa pagpanungay sukad pa sa miaging panahon,0
Kong ang kawatan hikaplagan nga nagaguba aron makasulod sa usa ka balay,0
Kong ang adlaw misubang na sa ibabaw niya,0
Kong ang usa ka tawo magapasibsib sa uma kun parrasan,0
Kong ang usa ka tawo makatugyan sa iyang isigkatawo ug asno,0
Magpahilayo ka sa mga buruka nga malimbongon,0
Apan sa ikapito ka tuig pagabiyaan mo kini nga walay pugas ug pasagdan mo,0
Ug kini anha sa ibabaw ni Aaron kong siya magaalagad; ug hidunggan ang tingog niini kong siya magasulod sa dapit nga balaan sa atubangan ni Jehova,0
Ug igasul-ob kini kang Aaron ug sa iyang mga anak nga lalake kong sila mosulod sa balong-balong nga pagatiguman,0
Unya kuhaon mo ang tambok sa carnero nga lake,0
Sa diha nga ikaw magkuha sa padron sa mga anak sa Israel ingon sa mga giisip gikan kanila,0
Ug sa diha nga magasulod sila sa balong-balong nga pagatiguman,0
Kay ngano ba nga magasulti ang mga Egiptohanon,0
Ang tanan nga nagabuka sa taguangkan maako; ug ang tanan nga lake sa imong kahayupan,0
Ug ang tabil sa pultahan sa sawang maoy buhat sa magbobolda,0
Ug nagbuhat sila ug duruha ka singsing nga bulawan,0
Apan kong ang panganod wala pagbayawa,1
Magsulti ka sa mga anak sa Israel,0
Ug kong ang iyang halad gikan sa kahayupan,0
Ug ang duruha ka amimislon ug ang tambok nga anaa sa ibabaw nila,0
Apan kong ang iyang halad nga sa halad-sa-pakigdait alang kang Jehova kinuha sa panon sa kahayupan; bisan lake kun baye,0
Ingon usab ang duruha ka amimislon ug ang tambok nga anaa sa ibabaw nila,0
Ug ang duruha ka amimislon,0
Ug ang duruha ka mga amimislon ug ang tambok nga anaa sa ibabaw nila,0
Ug igabutang niya ang iyang kamot sa ibabaw sa ulo sa kanding nga lake,0
Ug igabutang niya ang iyang kamot sa ibabaw sa ulo sa halad-tungod-sa-sala,0
O kong may tawo nga makahikap sa bisan unsang butanga nga mahugaw,0
Ug gikuha niya ang tanan nga tambok nga diha sa ibabaw sa mga tinae,0
Ug gikuha niya ang tambok ug ang ikog nga matambok,0
Ug sa pultahan sa balong-balong nga pagatiguman magpuyo kamo sa adlaw ug sa gabii sulod sa pito ka adlaw,0
Apan ang tambok ug ang mga amimislon,0
Ug gihalad niya ang halad sa katawohan,0
Ug ang mga tambok sa vaca,0
Ug may migula nga kalayo gikan sa atubangan ni Jehova,0
Ug si Moises miingon kang Aaron,0
Ug dili manggula sa pultahan sa balong-balong nga pagatiguman,0
Ikaw ug ang imong mga anak nga lalake uban kanimo,0
Sa unod niini dili kamo magkaon,0
Ug kini mahimong dulumtanan alang kaninyo. Sa ilang unod dili kamo mangaon,0
Ug ang bukaw,0
Ug tungod niining mga butanga,0
Ug ang bisan unsa nga nagalakaw sa lapalapa sa tiil,0
Apan kong butangan ug tubig ang binhi,0
Ug kong ang buhok sa usa ka lalake mangalarot,0
Ug kong ang buhok dapit sa iyang agtang mangalarot,0
Apan kong diha sa naupawan kun sa naupawan sa agtang may sakit nga maputi nga mapula-pula,0
Unya ang sacerdote magahiling kaniya,0
Mahitungod sa langgam nga buhi,0
Unya ang tag-iya sa balay,0
Ug pagakuptan niya ang kahoy nga cedro,0
Sa ingon niana pagapabulagon mo ang mga anak sa Israel gikan sa ilang pagkahugaw,0
Ug si Jehova misulti kang Moises sa tapus mangamatay ang duruha ka anak nga lalake ni Aaron,0
Ug si Jehova miingon kang Moises: Ingna si Aaron nga imong igsoon nga lalake nga sa tanan nga panahon dili siya magsulod sa dapit nga balaan,0
Ug igahalad ni Aaron ang lakeng vaca alang sa halad-tungod-sa-sala,0
Ug igahalad ni Aaron ang lakeng vaca nga mao ang halad-tungod-sa-sala alang kaniya,0
Ug igabutang niya ang incienso sa ibabaw sa kalayo sa atubangan ni Jehova,0
Ug walay bisan kinsa nga tawo sa sulod sa balong-balong nga pagatiguman kong siya mosulod sa pagbuhat sa pagtabon-sa-sala didto sa dapit nga balaan,0
Dili ka magpanimalus,0
Ug dili ninyo pagsamaran ang inyong unod tungod sa usa ka minatay,0
Ug kong ang mga tawo sa yuta magatago gayud sa ilang mga mata gikan niadtong tawohana,0
Nan ako magabutang sa akong nawong batok niadtong tawohana,0
Ug kong ang usa ka tawo mohigda ipon sa asawa sa iyang uyoan,0
Ug si Jehova miingon kang Moises: Isulti mo sa mga sacerdote,0
Dili sila magapaupaw sa ilang ulo ni mag-agil sa nasikuhan sa ilang bungot,0
Bisan kinsa nga tawohana sa kaliwatan ni Aaron,0
Busa pagabantayan nila ang akong katungdanan tingali hinoon ug makasala sila tungod niini,0
Ug siya nga makasamad nga ikamatay sa bisan kinsa nga tawohana,0
Ug pagabalaanon ninyo ang ikakalim-an ka tuig,0
Unya siya mopahawa kanimo,0
Ug kong usa ka lumalangyaw kun dumuloong nga anaa uban kanimo,0
Ang mga mananap nga mapintas igapadala ko sa inyong taliwala,0
Ug pagadad-an ko kamo ug espada nga magapanimalus sa paglalis sa akong tugon; ug pagatigumon kamo sa inyong mga lungsod; ug ako magapadala ug kamatay sa taliwala ninyo,0
Ug pagalaglagon ko ang inyong mga hatag-as nga dapit,0
