pos_tagged,label
/MAMAHIMO|VBW /BA|RBI /TANG|RBM /MAGKITA|VBW karong|NNC/CCP /GABII|NNC,0
/PAUSAB|JJD /PWEDE|RBT /BANHA|FW /KAAYO|CCB /NGA|RBI /WA|NNCA /KOY|NNCA /NADUNGGAN|VBTS /NA|CCP /NUON|NNC,0
/USA|RBR /KA|PRS /GINOO|RBT /USA|NNCA /KA|PRS /PAGTOO|VBW /USA|NNCA /KA|PRS /BAUTISMO|NNC,0
/AYAW|RBF /PAGGISI|NNC /ANG|DTC /PINAAKAN|VBTS /SA|CCT /LAMOK|NNC /MAMULA|VBW /KANA|NNC,0
/KAY|DTP /SI|DTP /JEHOVA|FW /MIINGON|FW /MAHITUNGOD|FW /KANILA|PRSP /SILA|PRP /SA|CCT /PAGKAMATUOD|NNC /GAYUD|CCB /MANGAMATAY|VBW /SA|CCT /KAMINGAWAN|NNC /UG|NNCA /WALAY|RBF /NAHABILIN|VBTS /NGA|RBI /USA|NNCA /KA|PRS /TAWO|RBW /KANILA|PRSP,0
/ADUNAY|RBR /MGA|DTCP /PUNOAN|NNC /SA|CCT /KORTE|NNC /SA|CCT /KASTILYO|NNC,0
/ANG|DTC /SALOG|NNC /SA|CCT /PAYAG|NNC /KAY|DTP /GAMA|NNP /SA|CCT /KAWAYAN|NNC,0
/ANG|DTC /NASUD|FW /MIABOT|FW /SA|CCT,0
/UG|NNC /SA|CCT /TAPUS|NNC /ANG|DTC /TUIG|NNC,0
/BUSA|FW /GIPANGALIYUPO|FW /KO|PRS kaninyo|PRSP/CCP /KARON|NNC /NGA|RBI /PAHULAY|JJD kamo|PRP/CCP /DINHI|VBOF karong|NNC/CCP /GABII|FW /KARON|FW /AKO|PRS /MAHIBALO|VBW /NGA|RBI /UNSA|RBR /PAY|NNC /PULONG|NNC /NI|DTP /JEHOVA|NNPA /KANAKO|NNC,0
/SI|DTP /KONSERBATIBO|NNC /NGA|RBI /NAGBANTAY|VBTS /SA|CCT /DOKTRINA|NNC /NGA|RBI /KRISTUHANON|NNC,0
/ADUNAY|NNC /RASON|NNC /SI|DTP /TOMAS|NNPA /MASUKO|JJD,0
/WALA|VBN /NAKO|RBD /TO|FW /GIBUHAT|FW /OG|FW /AKO|PRS /RA|NNCA /ISA|PRI,0
/UG|NNCA /GIKUHA|VBOF /NI|DTP /JEHOVA|NNPA /NGA|RBI /DIOS|RBI /ANG|DTC /TAWO|NNC /UG|NNCA gibutang|VBTS/CCP /SIYA|PRS /TANAMAN|VBOF /SA|CCT /EDEN|NNC,0
/NATUMBA|VBTS /OG|FW /IYA|FW /RA|FW /ANG|DTC /PUNO|NNC,0
daghang|PRI/CCP /PINTURA|NNC /SI|DTP /SILVESTRE|FW /SA|CCT iyang|NNC/CCP /LAWAK|NNC,0
/APAN|NNC /ANG|DTC /MGA|DTCP /JUVENIE|FW /DILI|FW /INTERSADO|NNC,0
/KINI|FW /NGA|RBI /PULBOS|JJD /MATUNAW|VBW /SA|CCT /TUBIG|NNC,0
/GUSTO|VBS /MO|PRS /OG|NNCA /ILIMNON|NNC,0
/UNYA|JJN /MINGDALI|FW /SILA|PRP /UG|NNCA /MIPAKANAUG|FW /ANG|DTC /TAGSATAGSA|NNC /SA|CCT iyang|NNC/CCP /BALUYOT|NNC /SA|CCT /YUTA|NNC,0
/ANG|DTC imong|NNC/CCP /SINULATAN|VBOF /SAMA|CCB /SA|CCT /AKOA|NNC,0
/NIHUNONG|VBTS /ANG|DTC /TARTANELYA|NNC /SA|CCT /TUNGOD|NNC /SA|CCT /BALAY|NNC /NI|DTP /ARIEL|NNC,0
/SILA|PRP /GIHAPON|VBOF /ANG|DTC /NAGSABAY|VBTS /SA|CCT /USA|NNC /PA|RBI /KA|PRS /ADLAW|NNC,0
/ITO|PRO /BA|RBI /AY|LM isang|PRI/CCP /BASTOS|JJD /SA|CCT /PUSA|NNC, 0
/DIRA|FW /NGA|RBI /GAMBALAY|VBOF /NANARBAHO|VBTR /ANG|DTC akong|PRS/CCP /AMAHAN|NNC,0
/WALAY|RBF /TAWO|RBT /NGA|RBI /MAGAPRENDA|VBW /SA|CCT /GALINGAN|NNC,0
/PAKIDA|NNC /ANI|NNC /UG|NNCA /FEDERAL|FW /EXPRESS|FW,0
/ANG|DTC buang|NNC/CCP /DIHA|NNC /SA|CCT iyang|NNC/CCP /KASINGKASING|JJCC /MIINGON|FW /WALAY|FW /DIOS|FW /MGA|DTCP /DUNOT|FW /SILA|PRP,1
/MAS|JJCC /NASUKO|VBTS /KO|PRS /KAY|DTP /GIKATAWAN|VBOF /KO|PRS /NIYA|PRS,0
/NAAY|RBR imahinaryong|NNC/CCP /HIGALA|JJD /ANG|DTC akong|PRS/CCP /ANAK|NNC /NGA|RBI /BAYE|NNC,0
/SI|DTP /TIQUICO|FW akong|PRS/CCP /GISUGO|RBD /NGANHA|RBD /SA|CCT /EFESO|NNC,0
/UG|RBR iyang|NNC/CCP /GIHATAG|JJD /KANIYA|PRSP /SI|DTP /BILHA|FW /NGA|RBI iyang|VBOF/CCP /ULIPON|FW /ARON|FW /MAASAWA|FW,0
samtang|JJD/CCP /ANIA|FW /PA|RBI /ANG|DTC /YUTA|NNC /ANG|DTC /PAGTANUM|NNC /UG|NNC /ANG|DTC /PAGANI|NNC,0
/DI|RBF /KO|PRS /NAGASTORYA|VBTR /OG|FW /LAIN|FW /NGA|RBI sinultian|VBTR/VBOF,0
/SA|CCT iyang|NNC/CCP /TOO|RBT /NGA|RBI kamot|PRP/CCP /MAO|VBW /ANG|DTC /TAGNA|NNC /ALANG|NNC /SA|CCT /JERUSALEM|NNC,0
/GIHUNGITAN|VBOF /NI|DTP /DANNY|NNC /ANG|DTC /BATA|NNC /OG|NNC /BIKO|NNC,0
/DILI|JJD /SIYA|PRS /NAWONG|VBTS /SA|CCT /TINUOD|JJD /NGA|RBI /KAPOY|NNC,0
/WA|JJD /PA|RBI /KO|PRS /NIKAON|RBW /OG|NNCA /PANIUDTO|NNC,0
/UG|NNCA /GILAGLAG|VBOF /NIYA|PRS /ANG|DTC /MGA|DTCP /CIUDAD|FW,0
/MISULAT|VBTS /SI|DTP /TOM|FW kang|PRS/CCP /MARIA|NNC,0
/USA|RBR /KA|PRS /NOLDO|FW /BA|FW /ANG|DTC /NAA|VBTS /SA|CCT /ILALOM|FW /SA|CCT /PUNUAN|VBOF,0
/TINGALI|VBTS /DILI|RBI /NIYA|PRS /MASABTAN|VBW /ANG|DTC /GINAINGON|NNC /SA|CCT /BABAYE|NNC,0
/PAHUMAN|VBOF /ANG|DTC /BIYAHE|NNC /SA|CCT /PARIS|NNC,0
/ANG|DTC imong|JJD/CCP /MGA|DTCP /GINAINGON|NNC /KAY|DTP /WALA|VBN /NAY|LM /EPEKTO|NNC /SA|CCT /AKOA|NNC,0
/UNSA|JJD /MAY|VBH /BUOT|JJD /PASABOT|RBD /NIMO|RBD /NGA|RBI /MAHITABO|JJD,0
/GINASINGKAHAN|VBTS /NI|DTP /TOM|NNC /SI|DTP /MARY|NNP,0
/NAGKALAINLAIN|VBTS /ANG|DTC /MGA|DTCP /KINAON|FW /NIINI|FW,0
/NAOG|VBTS /KA|PRS /SA|CCT /IMONG|NNC /KABAYO|NNC,0
/UG|NNCA /MITUBAG|VBW /SI|DTP /ABRAM|FW /O|CCT,0
katong|JJD/CCP /BATAA|NNC /MAHINABANGON|VBW /SA|CCT /MGA|DTCP /TARBAHO|NNC /SA|CCT /BALAY|NNC,0
/WALA|VBN /BA|RBI /KA|PRS /GIHUWAT|VBOF /NI|DTP /TOM|NNP,0
/ADUNA|JJD /NA|CCP /KAY|DTP /DUHA|NNP /KA|PRS /LIBRO|NNC,0
/NAGALUTO|VBTR /UG|NNCA /ITLOG|NNC /SI|DTP /LEO|NNC,0
/UG|NNCA /SI|DTP /SAMSON|FW /MIINGON|FW /MAGPAKAMATAY|VBW /AKO|PRS /UBAN|NNC /SA|CCT /MGA|DTCP /FILISTEHANON|FW /UG|FW /SIYA|PRS /MIDUKO|FW /UBAN|FW /ANG|DTC /TIBOOK|RBD niyang|PRS/CCP /KUSOG|RBD /UG|RBD /ANG|DTC /BALAY|NNC /NAHUGNO|VBTS /SA|CCT /IBABAW|JJD /SA|CCT /MGA|DTCP /KADAGKUAN|NNC /UG|NNC /SA|CCT /KATAWOHAN|NNC /NGA|RBI /DIDTO|NNC /SA|CCT /SULOD|FW /BUSA|FW /ANG|DTC /MGA|DTCP /TAWO|NNC /NGA|RBI iyang|NNC/CCP /NAPATAY|VBTS /SA|CCT iyang|JJD/CCP /PAGKAMATAY|NNC /LABI|NNC pang|RBI/CCP /DAGHAN|NNC /KAY|DTP /KANILA|PRSP /NGA|RBI iyang|VBOF/CCP /GIPATAY|NNC /SA|CCT /BUHI|NNC /PA|RBI /SIYA|PRS,0
/HUMANA|VBAF /NA|CCP /BA|FW /KITA|NNC,0
/MISULOD|VBTS /SIYA|PRS /SA|CCT iyang|VBOF/CCP /KWARTO|NNC /ARON|FW /MOPAHULAY|FW,0
/UG|NNCA /NANAGSULTI|VBTR /SI|DTP /MIRIAM|NNP /UG|NNCA /SI|DTP /AARON|FW /BATOK|NNC kang|PRS/CCP /MOISES|FW /TUNGOD|FW /SA|CCT /BABAYE|FW /NGA|RBI /ETIOPIAHANON|FW /NGA|RBI iyang|VBOF/CCP /GIPANGASAWA|NNC /KAY|DTP /SIYA|PRS /NANGASAWA|VBTS /SA|CCT /BABAYE|FW /NGA|RBI /ETIOPIAHANON|NNC,0
/DAKO|NNC /TO|FW /NGA|RBI /TABANG|NNC,0
/APAN|RBR /SIYA|PRS /MIINGON|VBTF /NGA|RBI /MAINITON|VBW /GAYUD|NNC,0
/KINI|FW /MAHIMOG|FW /GIKAN|FW /SA|CCT /YANO|NNC /NGA|RBI /MGA|DTCP /HULGA|NNC /SA|CCT ilang|PRQ/CCP /MGA|DTCP /PROPESYONAL|JJD /NGA|RBI /KARERA|NNC /HANGTODMGA|RBW /HULGA|NNC /SA|CCT /KAMATAYON|NNC,0
/WALA|VBN /KAY|DTP /MAKITAN|VBW /NGA|RBI /MALI|JJD /SA|CCT /MASKIG|FW /KINSA|FW,0
/NANGITA|VBTS /KA|PRS /SA|CCT /IMONG|NNC /SUSI|NNC,0
/WALAY|FW /BISAN|FW /KINSA|FW /NGA|RBI /PERPEKTO|JJD,0
/APAN|RBR kong|PRS/CCP /IKAW|PRS /MAGAPASIDAAN|VBAF /SA|CCT /DAUTAN|NNC,0
/GINAPAKAON|VBTS /NI|DTP /ANTONIO|NNC /SI|DTP /CELESTE|FW /OG|FW tinutong|VBAF/CCP,0
/UG|NNC /SA|CCT /NAHUROT|VBTS /NA|CCP /ANG|DTC /SALAPI|NNC /SA|CCT /YUTA|NNC /SA|CCT /EGIPTO|NNC,0
/HAIN|FW /MAN|FW /DAPIT|FW /ANG|DTC /IMO|NNC,0
/UG|NNCA /GIHATAG|VBOF /NI|DTP /MOISES|FW /ANG|DTC /BUHIS|NNC,0
/IPADAYUN|VBOF /NA|CCP /TAKOM|FW /IMONG|CCT /BABA|JJD /UY|NNC,0
/UNSAY|NNC /BUOT|JJD mong|PRS/CCP /IPASABOT|VBOF,0
/WALA|VBN /KOY|NNC /ORAS|NNC /KARON|NNC,0
/NAKAMATA|VBTS /SIYA|PRS tung|PRO/CCP /NITINGOG|VBTS /ANG|DTC /TELEPONO|NNC,0
/KINSA|JJD /ANG|DTC /NAGPAKALAT|VBTS /ANA|FW /NGA|RBI /ESTORYATSISMIS|NNC,0
/SA|CCT maong|JJD/CCP /ADLAW|NNC /PAGAKANON|NNC /KINI|FW /WALAY|FW /IGABILIN|FW /GIKAN|FW /NIINI|FW /HANGTUD|FW /SA|CCT /PAGKABUNTAG|VBW /AKO|PRS /MAO|VBW /SI|DTP /JEHOVA|NNPA,0
/PUTI|JJD /ANG|DTC /BALAS|FW /DIDTO|FW /SA|CCT /KILID|NNC /SA|CCT /DAGAT|NNC,0
/MAGKUHA|VBAF /KAMO|JJD /UG|NNCA /PADRON|NNC /SA|CCT /TIBOOK|NNC /NGA|RBI /KATILINGBAN|NNC /SA|CCT /MGA|DTCP /ANAK|NNC /SA|CCT /ISRAEL|FW /PINAAGI|FW /SA|CCT ilang|PRQ/CCP /MGA|DTCP /PANIMALAY|NNC,0
/GAMAY|JJD /NA|RBI /LANG|RBI /ANG|DTC /KINAHANGLAN|VBTR /NA|CCP /BUHATONON|NNC,0
/SUKAD|JJD /NGA|RBI /GILUAGAN|VBOF /NA|CCP /USAB|NNC /ANG|DTC /PAGBYAHE|NNC /SA|CCT /MGA|DTCP /MOTORSIKLO|NNC,0
/UG|RBR /KON|NNC /KINI|FW /MANGAYOG|FW /ISDA|NNC /HATAGAN|NNC /HINOON|CCB /NIYAG|FW /BITIN|FW,0
/SAKIT|NNC /MAN|RBI /PERO|CCT /KINAHANGLAN|VBTR nakong|JJD/CCP /KALIMTAN|NNC /ANG|DTC /TANAN|PRI,0
/NINDOT|VBTS /NA|CCP /NGA|RBI /TULA|NNC,0
/GANAHAN|VBOF /KO|PRS /SA|CCT /PAKWAN|NNC,0
/APAN|NNC /SA|CCT /MOTABOK|NNC /NA|CCP /KAMO|JJD /SA|CCT /JORDAN|NNC,0
/NAA|VBTS /DIDTO|NNC /SI|DTP /TOM|NNP,0
/PILAY|FW /IMONG|FW /IDAD|FW /KARON|NNC,0
/GUSTO|VBS /UNTA|VBS /KO|PRS moadto|VBTF/VBAF /KASO|CCR /WALA|VBN /KOY|NNC /SAKYANAN|NNC,0
/ANG|DTC /TUKA|NNC /KAY|DTP /MAPULAPULA|VBW /UG|NNCA /ANG|DTC /IRIS|FW /KAY|DTP /ADUNAY|FW /PAGKAPUTI|NNC,0
/NAG|VBTS /GABAS|FW /NAPUD|FW /ANG|DTC /MGA|DTCP /PANDAY|NNC,0
/UG|NNCA /SILA|PRP /MINGPANAW|VBTS /GIKAN|NNC /SA|CCT /IHEABARIM|FW /UG|FW /MINGPAHALUNA|FW /SA|CCT /DIBONGAD|NNC,0
/NAGLAKAW|VBTS /AKO|PRS /SA|CCT /PARKE|NNC,0
/ANG|DTC /EKSOBIYOLOHIYA|NNC /KAY|DTP /ESTUDYO|NNC /SA|CCT /KINABUHI|NNC /SA|CCT /ESPASYO|NNC,0
/NAGBASOL|VBTS /SIYA|PRS /NGA|RBI /TAPOLAN|VBTS /SIYA|PRS,0
/KINI|FW /SILA|PRP /MAO|VBW /ANG|DTC /MGA|DTCP /ANAK|NNC /NGA|RBI /LALAKE|NNC /NI|DTP /ZILPA|NNC,0
/DILI|VBS /KO|PRS /KATOU|RBW /SAIMOHA|NNC,0
/PAGAHIMOON|NNC /NI|DTP /JEHOVA|NNPA /ANG|DTC /ULAN|NNC /SA|CCT /IMONG|NNC /YUTA|NNC /NGA|RBI /ABUG|NNCA /UG|NNCA /ABO|NNC /GIKAN|NNC /SA|CCT /LANGIT|NNC /MOULAN|NNC /KINI|FW /SA|CCT /IBABAW|JJD /MO|PRS /HANGTUD|RBW /NGA|RBI /MALAGLAG|VBW /KA|PRS,0
/GAKAON|VBOF /SI|DTP /PEDRO|FW /KARON|FW /SA|CCT /TSOKOLATERIYA|NNC /SA|CCT /BARYO|NNC,0
/NI|DTP /KAON|NNP /UG|NNCA /BUKO|NNC /POPSIKEL|NNC /SI|DTP /CHUCK|NNC,0
/SIYA|PRS /MISMO|RBT /NI|DTP /DUAW|NNP /DIDTO|NNC,0
/BUOT|JJD /NAKO|RBD /MAHIBALAN|VBW /ANG|DTC /MGA|DTCP /DETALYE|NNC,0
/MIBALHIN|VBOF /MAN|RBI /O|CCT /DILI|JJD /ANG|DTC /MGA|DTCP /RATE|NNC /SA|CCT /PAGKAMATAY|VBW /SA|CCT daghang|PRI/CCP /MGA|DTCP /PUTI|JJD /NGA|RBI /IHO|NNCA /NGA|RBI /MGA|DTCP /IHO|NNC,0
/KONDILI|NNC /SA|CCT /DAPIT|NNC /NGA|RBI /PAGAPILION|NNC /NI|DTP /JEHOVA|NNPA /SA|CCT /USA|NNC /SA|CCT /IMONG|NNC /MGA|DTCP /BANAY|NNC,0
/MAAYO|JJD /ANG|DTC iyang|NNC/CCP /LEMONADA|NNC,0
/NAHIMO|VBTS siyang|PRS/CCP /MAS|JJCC buangbuang|JJD/CCP,1
/UG|NNCA /IKAW|PRS /KINSA|VBOF /KA|PRS,0
/NAGASUOT|VBTS /SIYA|PRS /UG|NNCA /ANTIPARA|NNC,0
/WALA|VBN /NA|RBI /SIYA|PRS dalagang|NNC/CCP /ULAY|JJD,0
/PUTI|JJD og|RBD/CCP /PULA|JJD /ANG|DTC /MASKARA|NNC,0
/WALA|VBN /KABAW|NNC /SI|DTP /TOM|FW /NA|CCP /KINAHANGLAN|VBTR /NIYA|PRS /MUADTO|NNC /GAHAPON|NNC,0
/WALA|VBN /PA|RBI /LUTO|JJD /ANG|DTC /KAN|FW /ON|FW,0
/ANG|DTC among|NNC/CCP /PROPESOR|NNC /ANG|DTC /NAGBAYAD|VBTS /PARA|CCT /SA|CCT /AMOA|FW /TANAN|PRI,0
/UG|NNCA /SI|DTP /JEHOVA|FW /MIKUNSAD|FW /SA|CCT /PANGANOD|NNC,0
/UG|NNCA /SIYA|PRS /MIINGON|VBTF /KANIYA|PRSP /ANG|DTC /TANAN|PRI mong|PRS/CCP gipamulong|VBTRVBAF/CCP akong|PRS/CCP /PAGABUHATON|NNC,0
/KINI|FW /NGA|RBI iring|VBOF/CCP /DILI|RBM /MAG|VBW /GUKOD|NNC /SA|CCT /MGA|DTCP /ILAGA|NNC,0
/NAKITAN|VBTS /NI|DTP /SILVESTRE|NNC /ANG|DTC /TARTANELYA|NNC /SA|CCT /PARKE|NNC,0
/USA|RBR /KA|PRS /MYEMBRO|NNC /SA|CCT /ABU|FW /SAYYAF|FW /ANG|DTC giingong|NNC/CCP /NAMATAY|VBTS /HUMAN|FW /SA|CCT /ENGKWENTRO|NNC /SA|CCT /MGA|DTCP /AWTORIDAD|NNC /SA|CCT /LUNGSOD|NNC /SA|CCT /SIBUCO|NNC,0
/UG|NNCA /NAHATABO|VBTS niadtong|RBD/CCP /IKADUHA|VBOF /NGA|RBI /TUIG|NNC,0
/ANG|DTC /MGA|DTCP /ANAK|NNC /NGA|RBI /MANGATAWO|VBTF /KANILA|PRSP /SA|CCT /IKATOLO|JJN /KA|PRS /KALIWATAN|PRI /MAKASULOD|VBW /SA|CCT /KATILINGBAN|NNC /NI|DTP /JEHOVA|NNPA,0
/SA|CCT /BALAY|NNC /SIYA|PRS /GIPANGANAK|VBOF,0
/GANAHAN|VBTS /SILA|PRP /NGA|RBI /MAG|VBW /ININGLES|VBOF /ANG|DTC /MGA|DTCP /BATA|NNC,0
/GA|FW /SULOB|FW /BA|FW /SIYAG|FW /ANTIPARA|FW,0
/AYAW|RBF /NA|RBI /SIYA|PRS /SALIGI|NNC,0
/GINA|JJD pang|RBI/CCP /HAMBOG|NNC /TIKA|NNC,0
/UG|NNCA /BISAN|RBW /KINSA|VBOF /NGA|RBI /DILI|RBM /MAGABUHAT|VBW /SA|CCT /KASUGOAN|NNC /SA|CCT /IMONG|NNC /DIOS|NNC,0
/NI|DTP /MELICHA|NNC /SI|DTP /JONATHAN|VBOF /NI|DTP /SEBANIAS|NNC /SI|DTP /JOSE|NNP,0
/SIYOPAW|JJD /NA|CCP /BOLABOLA|NNC /ANG|DTC /GANAHAN|VBOF /NI|DTP /WANDA|NNC,0
/KINAHANGLAN|VBTR /NAKO|RBD /OG|NNCA /KUTSILYO|NNC,0
/UG|NNCA kadtong|NNC/CCP /PAGALUKATON|NNC /MO|PRS /GIKAN|VBOF /KANIMO|CCB /MAO|VBW /ANG|DTC /MAY|VBH /KAGULANGON|NNC /NGA|RBI /GIKAN|NNC /SA|CCT /USA|NNC /KA|PRS /BULAN|NNC,0
/TIBUOK|FW /BALAY|FW /JUD|FW /NI|DTP /TOM|FW /ANG|DTC /NAGUBA|VBTS,0
/UG|NNCA /MIINGON|NNC /ANG|DTC /TAWO|FW /MINGPAHAWA|FW /SILA|PRP /DINHI|RBM /UG|NNCA /HINGDUNGGAN|VBOF /KO|PRS /SILA|PRP /NGA|RBI /NANAGINGON|VBTR /MANGADTO|VBW /KITA|NNC /SA|CCT /DOTHAM|NNC /UG|NNC /SI|DTP /JOSE|FW /MISUBAY|FW /SA|CCT iyang|NNC/CCP /MGA|DTCP /IGSOON|NNC,0
/IKAW|PRS /ANG|DTC /HINUNGDAN|VBTS /SA|CCT tanang|RBD/CCP /MGA|DTCP /KALISDANAN|NNC /SA|CCT imong|VBOF/CCP /GRUPO|NNC,0
/UG|NNCA /ANG|DTC /SACERDOTE|FW /MAGAHALAD|FW /SA|CCT /USA|FW /KA|PRS /BOOK|FW /ALANG|CCT /SA|CCT /HALADTUNGODSASALA|NNC,0
/NAGDAHOM|VBTS /NA|CCP /SI|DTP /TOM|FW /NGA|RBI /KINI|FW /MAHITABO|JJD,0
/NAGLUTO|VBTS /OG|FW /BALANGHOY|FW /SA|CCT /KALDERO|NNC,0
