word,frequency
bembemsmga,1
benta,1
bentables,1
bentahan,1
benteng,1
beomjun,1
beses,8
bespren,1
bestie,1
bestlink,1
bhie,2
biangcake,1
bibe,2
bibig,6
bibigay,4
bibigyan,1
bibilhin,1
bibili,6
bibilis,1
bibirthday,1
bigat,2
bigay,1
bigla,15
biglaan,1
biglang,13
bigyan,3
biktima,1
bilat,1
bilhin,1
bilihin,4
bilis,12
bilisan,1
bilyon,1
binabackstab,1
binabalak,2
binabalewala,1
binabalikan,1
binabaliw,2
binabasa,2
binabash,1
binabawi,1
binabayad,1
binalewala,1
binasa,1
binati,1
binatong,1
binawi,1
binayaran,1
binebenta,1
binibigay,2
binibilangan,1
binibini,1
binibiyak,1
binigay,5
binigyan,4
binilhan,1
binili,4
binilihan,1
binitawan,1
binoto,2
bintana,2
bintangan,1
binugbog,1
binugbug,1
binuhos,1
binulok,1
binundol,1
binunot,1
binuntis,1
binuong,1
bisaya,1
bisita,3
bisky,1
bitbitin,1
bituka,1
blackpink,2
blinock,2
blockmates,1
bloodseeker,1
blueacid,1
boang,2
boarknock,1
bobong,5
bobookmark,1
bocar,1
bonchon,1
bondesto,1
bondpaper,1
bongbong,3
bongga,1
boobear,1
borlog,1
boses,13
boung,1
braso,1
brightwin,1
bubukas,1
bubusal,1
bubusina,1
budhi,1
budol,1
bugok,4
bugoy,1
buhangin,2
buhat,1
buhok,6
buhol,1
bukang,1
bukas,50
bukhang,1
bukid,1
bukod,2
bukol,2
bulag,1
bulagan,1
bulong,1
bulsa,3
bumaba,1
bumabata,1
bumagsak,3
bumalik,4
bumaliktad,1
bumangga,1
bumata,1
bumati,1
bumibili,1
bumigat,1
bumili,10
bumoboses,1
bumoto,1
bungad,4
bungal,1
bungol,1
bunso,2
buong,17
burahan,1
burahin,1
buraot,2
burat,3
burikat,2
busog,3
buto,1
buuin,1
buwan,10
buwis,2
bwakanang,1
bwiset,316
bwisit,8
byahe,1
calabarzon,1
calixs,1
candila,1
canva,1
cayuna,1
ccboot,1
chachat,1
chaeyeon,1
changbin,6
changlix,1
chariz,2
charot,5
chicheck,1
chikahan,1
chikang,1
chinachat,1
chinat,1
chineck,1
chinggay,1
chismis,2
chismosa,4
chiz,1
choreo,1
chour,1
chrous,1
chuchu,1
chz,3
cinocollect,1
cocommute,1
coconcert,2
coconfirm,1
codm,1
conyo,1
covid,1
crdj,1
croomf,1
crushie,1
cvsu,1
cyler,1
d,1
dabog,2
dadaanan,1
dadagdag,1
dadalhin,2
dadeh,4
dagat,1
dagdag,3
dagok,1
dahandahan,1
dahilan,3
daig,1
dakilang,1
dalang,1
dalawa,20
dalawang,22
dalwang,1
damay,3
damayan,1
damdamin,1
damuho,1
danugin,1
dapitan,1
darating,1
dasurb,1
dasurv,1
dazznight,1
ddshit,1
de,1
deib,3
dejoke,1
dekada,1
delikado,2
delikadong,1
delulu,1
demonyo,2
demonyong,1
denden,1
depensa,2
deserb,1
desisyon,6
deza,1
dibdib,7
digong,1
dika,1
dikit,2
dikitdikit,1
dilawan,3
dimagiba,1
dinagdagan,1
dinaig,2
dinako,1
dinamay,4
dindamay,1
dinedemonyo,1
dinirect,1
dinodogshow,1
dinugtungan,1
divisoria,1
diyan,46
dodogshow,1
dodogshowin,1
dodownload,1
dogshow,3
donbelle,6
donggyun,1
doromal,2
dororo,1
dragonborn,1
duduo,1
dugo,3
dugyot,1
dumaan,4
dumadaan,1
dumadaloy,1
dumadating,1
dumami,1
dumapo,1
dumating,6
dumi,2
dumumi,1
dustine,1
duterte,1
duwa,1
duwag,2
dyib,1
e,21
ealan,1
ebak,1
ebbg,1
ebidensya,1
eepal,3
eexam,1
eexpect,1
eexpose,1
ekis,2
elago,1
elmow,1
emman,1
emoji,2
emplayado,1
englishan,1
engot,2
enha,7
ensd,1
entrep,1
epekto,1
epje,1
esbi,2
escolta,1
estranghero,1
estudyante,2
etong,1
eunchae,1
eunhae,1
evilgrin,2
exlap,1
eyy,1
fabie,1
fafa,1
fakenews,1
feelingera,1
fefeel,1
feliza,1
ferzown,1
ffirst,1
finollow,2
flinex,1
forda,3
freeball,1
fuckshit,1
g,3
gaano,8
gaanong,1
gabing,1
gagaling,1
gagamitin,1
gaganahan,1
gaganda,3
gaganiyanin,1
gaganon,2
gaganti,1
gaganyanin,3
gagawa,4
gagawan,1
gagawin,12
gagawing,1
gagi,14
gagoals,1
gagong,4
gagraduate,3
gagu,3
gagwapo,1
galaw,4
galet,1
galitin,1
gamit,14
gamitin,4
gamot,2
ganang,2
ganap,5
ganaps,1
gandang,1
ganito,22
ganitong,5
ganiyan,7
ganti,1
ganto,4
gantong,3
ganyan,23
ganyang,4
gapo,1
gaslighting,1
gasul,1
gawan,2
gawin,26
gawing,3
gayahin,1
gcash,9
gedli,1
genmath,1
genshin,1
geonu,1
gerrykups,1
geybin,1
ggx,1
ghinoghost,1
ghorls,2
ghurl,1
giatay,1
gigil,3
gigym,1
gilid,4
ginagago,1
ginagalit,1
ginagamit,1
ginaganto,1
ginagawa,11
ginagawan,1
ginagawang,2
ginamit,2
ginanahan,1
ginastos,1
ginaw,2
ginawang,8
ginaya,1
ginayuma,1
ginigigil,1
giniginaw,1
ginigrill,1
ginintuang,1
ginising,3
ginugulo,1
ginulo,4
gising,17
gitna,3
gmeet,1
gobyerno,3
godbless,1
gonggong,1
gopuri,1
gorl,1
gorya,1
graba,1
grabeng,1
gripo,1
groupmates,1
grumaduate,1
grumagraduate,1
gtlt,2
gugulpihin,1
guguluhin,2
gulat,1
gulay,1
gulong,1
guluhin,1
gumagalaw,1
gumagamit,3
gumagana,1
gumagapang,1
gumagawa,3
gumagraduate,1
gumalang,1
gumalaw,1
gumamit,1
gumana,1
gumanap,1
gumanon,1
gumastos,2
gumawa,9
gumigising,1
gumigitna,1
gumising,1
gumugulo,1
gunggong,4
gupit,1
gurad,1
gurang,1
gustong,10
gutom,6
gwagwapo,1
gwak,2
gwapo,24
gwapong,2
gyuhao,1
habol,1
habulan,1
hadlang,1
haech,1
haechan,2
hagdan,1
hahamakin,1
hahanda,1
hahayaan,3
hajduajsuahaush,1
hajeongwoo,1
hakdog,1
halaga,1
halata,4
halatang,5
halika,3
halimaw,1
halip,1
haluan,1
hambalusin,1
hambog,1
hampas,1
hanap,2
hanep,1
hangganan,1
hanghang,1
hanji,1
hapdi,2
hapon,3
harabas,1
harap,3
harot,2
haruto,2
hashtag,3
hawak,1
hawakan,1
hayaan,7
hayop,35
hayss,2
hayst,2
hayup,6
heartrob,1
heehoon,1
heeseung,1
heesun,1
helcurt,1
heto,2
heurt,1
higaan,2
higit,2
hihilahin,1
hihilain,1
hihimlay,1
hihindot,1
hihinga,1
hihingi,1
hihinto,1
hihiram,1
hilain,1
hilig,1
hilingin,2
himbing,1
himlay,1
hinaha,1
hinahagilap,1
hinahanap,3
hinahayaan,1
hinaheart,1
hinampas,2
hinanap,3
hinang,1
hinatid,1
hinayaan,1
hinayupak,2
hinding,1
hindot,6
hineart,1
hinga,1
hingi,1
hinihila,1
hinihiling,1
hinihingal,1
hinihintay,1
hinintay,3
hiniram,2
hinliliit,1
hintay,5
hintayin,5
hinuhgshan,1
hipag,1
hipon,1
hita,4
hitang,1
hitsura,1
hiwalayan,1
hiyang,2
hndi,1
hody,1
hoyy,1
hudas,1
huhubad,1
huhuhu,6
huhujhgug,1
huhuntingin,1
huhusay,1
hukuman,1
hulaan,1
hulas,1
hule,1
hulihin,1
humabol,1
humagilap,1
humagulgol,1
humanap,2
humanda,1
humihilab,1
humihinga,2
humiling,1
humimlay,1
huminto,1
humss,1
huwodywodiosi,1
hybe,2
hyeji,1
hyewon,1
hyojung,1
hyunakie,1
hyunjin,3
iaccept,2
iadd,2
iadjust,1
ibabalik,2
ibabaw,1
ibalik,3
ibalita,1
ibbara,1
ibblock,1
ibenta,2
ibida,1
ibigay,5
ibinabangon,1
ibinigay,1
ibinilin,1
ibody,1
ibon,2
ibubulsa,1
ibuburol,1
ibusted,1
icallout,1
icecelebrate,1
icelebrate,1
icesaw,1
ichichika,1
icomfort,1
icoverup,1
icut,1
idadaan,1
idagdag,1
idamay,1
ideclare,1
idedefend,1
idoble,1
idodrop,1
idolo,1
idrawing,1
idrop,1
iexplain,1
iextend,1
iflush,1
iggive,1
ihahampas,1
iharap,1
ihate,1
iheader,1
ihghad,1
iigo,1
iimagine,1
iinactive,1
iingay,1
iinggit,1
iinom,3
iinvestigate,1
iisa,1
iisang,3
iiwan,2
iiwanan,1
iiyak,12
iiyakan,2
ijustify,1
ikagraduate,1
ikakahiya,1
ikakamatay,1
ikeep,1
ikli,1
ikot,1
ikumpara,1
ilaban,1
ilabas,6
ilagay,1
ilalaan,1
ilalakad,1
ilalala,1
ilalim,1
ilang,23
ilichil,1
ilong,2
ilugar,1
ilulunod,1
imahe,1
imahinasyon,1
imamarites,1
imamine,1
imamyday,1
imang,1
imbes,1
imbis,4
imburnal,1
imee,1
impiyernong,1
impormasyon,1
imposibleng,1
impyerno,5
inaaccept,1
inaagaw,1
inaalala,1
inaano,4
inaantay,1
inaantok,6
inaasahan,1
inaasar,1
inabandona,1
inabangan,1
inabot,4
inadventure,1
inagaw,2
inalagaan,1
inalok,1
inamo,2
inanakan,1
inang,6
inantok,1
inaraw,1
inarbor,1
inaupload,1
inaway,3
inazuma,1
ineencourage,1
inend,1
ineng,2
inexpect,2
ingay,9
inggit,6
inggitan,1
inggitin,1
ini,2
inicon,1
inidoro,1
inienglish,1
iniinis,1
iniinom,1
iniintindi,1
iniisip,9
iniissue,1
iniistalk,1
iniiyakan,2
inimprinta,1
ininform,1
ininom,2
inisip,2
inistalk,1
iniwan,5
iniyakan,1
inluv,1
inoff,1
instagram,12
institusyon,1
intertown,1
intindhin,1
intindihin,3
intsik,1
inubo,1
inubos,2
inuman,3
inumin,1
inuna,1
inunfollow,1
inunfriend,2
inupdate,1
inupload,1
inutil,5
inuulit,1
inuunahan,1
inuutang,1
inuwi,2
ioff,1
iooffer,1
iopen,1
ipaabang,1
ipabarang,1
ipagamit,1
ipagawa,1
ipagaya,1
ipagpalit,1
ipagpatuloy,1
ipagpipilitan,1
ipagyabang,1
ipakita,1
ipalamon,1
ipanotary,1
ipapa,2
ipapaframe,1
ipapakita,1
ipapakulam,1
ipapakulong,1
ipapalinis,1
ipapatugtog,1
ipartner,2
ipasa,1
ipasok,3
ipilit,1
ipinaglalaban,1
ipinamimigay,1
ipis,4
ipokrita,1
ipon,2
ipopost,1
iportfolio,1
ipunin,1
irefund,1
ireport,1
irerelease,1
irerent,1
irestrict,1
ireto,1
irevive,1
irita,1
iritang,1
isagad,1
isagot,1
isali,1
isalpak,1
isama,2
isampal,1
isasagot,2
isasahog,1
isaw,1
isend,1
iseul,1
ishe,1
isipan,3
isipin,2
isisi,1
iskinita,1
iskul,1
iskwater,1
ispoil,1
istalk,1
istorbihin,1
istorya,2
isulat,1
isuot,1
isurprise,1
isuspinde,1
isusulat,1
isusuot,1
itag,1
itago,1
itakin,1
itanong,2
itanyag,1
itapon,1
itatanggi,1
itatanong,1
itetext,1
itinakda,1
itlog,2
itsura,1
itulog,1
ituloy,3
itutulog,1
itutuloy,3
itwist,1
itzy,1
iuntog,1
iverify,1
ivler,1
iwasan,1
iyak,11
iyakin,1
iyang,1
iyo,5
iyon,6
izek,1
izel,1
izero,1
j,3
jaehyuk,1
jaehyun,1
jaemin,1
jahstell,1
jajumbo,1
jakehoon,1
jan,6
japearl,1
jayb,1
jayke,1
jaywon,1
jealyn,1
jejemon,5
jempoy,1
jeongcheol,1
jeonghan,5
jeongin,1
jepay,1
jepslogs,1
jhei,1
jheld,1
jhun,1
jihyo,1
jimin,2
jino,1
jinsoul,1
jinyoung,2
jio,1
jisoo,1
jisung,5
jiwoong,1
jojoke,1
jolina,1
jolits,1
jollibots,1
jossrei,2
jowa,25
jowain,1
jumong,1
junard,1
jungkook,8
jungwon,6
jungwoo,1
junhao,1
junhui,1
junjun,1
jusmiyo,2
jyp,1
k,1
kaacclaan,1
kaagad,1
kaalaman,1
kaanak,1
kaartehan,2
kaaway,2
kaayos,1
kabado,5
kabadong,1
kabahan,3
kabanata,1
kabash,1
kabataan,1
kabatch,2
kabayo,1
kabebe,1
kabilang,2
kabit,9
kabobohan,3
kabog,1
kabubukas,1
kabuhayan,1
kabuktutan,1
kabwiset,1
kachat,2
kadamutan,1
kademonyohan,1
kadikit,1
kagabi,6
kagabing,1
kagagahan,1
kagagawa,1
kagagawan,1
kagaguhan,3
kagat,1
kagaya,5
kagigil,1
kagigising,1
kagising,1
kagrupo,1
kagulat,1
kagusto,1
kagustuhan,1
kagwapo,1
kahalaga,1
kahapon,10
kaharap,1
kahawig,1
kahibangan,1
kahihiyan,3
kahilingan,1
kahinaan,1
kahirapan,1
kahiya,5
kaibagan,1
kaibahan,1
kaibigang,1
kaiingit,1
kaiisip,1
kailangang,2
kailanman,2
kainin,1
kainis,4
kainit,1
kainlove,1
kairita,3
kakaayos,1
kakababa,1
kakabahan,1
kakabreak,1
kakabreakdown,1
kakagaling,1
kakagatin,1
kakagigil,2
kakagising,5
kakahanap,1
kakahiya,1
kakain,5
kakainin,1
kakainis,2
kakainteract,1
kakaisip,6
kakaiyot,1
kakakape,1
kakalaglag,1
kakaligo,1
kakalinis,1
kakalma,1
kakambal,1
kakampe,1
kakampi,6
kakampink,2
kakampinkong,1
kakampinks,4
kakangiti,1
kakanood,1
kakantahin,1
kakaopen,1
kakapagod,1
kakapalan,2
kakapasok,1
kakaposer,1
kakareceive,1
kakarmahin,1
kakasahod,1
kakasakit,1
kakasigaw,2
kakasugod,1
kakatawa,3
kakataying,1
kakatulog,1
kakauninstall,2
kakaupload,1
kakawithdraw,1
kakayanin,1
kakilabot,1
kakilala,1
kakitid,1
kaklase,5
kakosa,2
kakupalan,2
kalaban,5
kalagayan,2
kalahati,1
kalahating,2
kalakas,1
kalalakihan,1
kalandian,3
kalang,2
kalapating,1
kalaro,1
kalaswaan,1
kalawang,1
kalbo,2
kaligayahan,4
kalix,1
kalmahan,4
kaloka,1
kalokohan,2
kalsada,4
kamag,1
kamaganak,1
kamalasan,2
kamao,1
kamatayan,1
kambing,2
kamot,1
kamote,2
kampi,2
kampihan,1
kampon,1
kamukha,5
kamusta,3
kamustahin,2
kanang,2
kang,74
kangen,1
kanino,2
kaninong,1
kaniya,21
kapagod,2
kapal,14
kapalit,1
kapareho,2
kapatid,18
kapekean,1
kapeng,1
kapitalista,1
kapitbahay,1
kaplastikan,1
kapogian,1
kapogihan,1
kapos,1
kapulisan,1
kaputanginahan,1
kapwa,2
karamay,1
karapatan,2
karmahin,1
karupukan,1
karylle,1
kasabihan,1
kasalanan,20
kasali,1
kasawa,2
kasing,11
kasiyahan,2
kasuhan,1
kasunduan,1
kasuyo,1
kasya,1
kataas,1
katabi,2
katagal,1
katahimikan,1
katakataka,1
katalinuhan,1
katamad,3
katangahan,4
katanungan,2
katapos,1
katapusan,1
katarantaduhan,1
katatawa,1
katatawanan,1
katawa,1
katawan,12
kateam,1
katigasan,1
katiting,1
katiwa,1
katorse,1
katotohanan,1
katropa,1
katulad,4
katulog,1
katzupoy,1
kaurat,1
kausap,17
kausapin,8
kausapkinukumusta,1
kawalang,1
kawatan,1
kawawa,10
kawawang,2
kayang,5
kaylangan,1
kayobagalan,1
kaysa,8
kelangan,3
kemeng,1
kentell,1
keyt,1
kidlat,1
kidols,1
kihno,1
kikiligin,1
kilabutan,1
kilala,10
kilalang,1
kilig,13
kiligin,1
kinabahan,10
kinacareer,1
kinagwapo,1
kinain,1
kinakabag,1
kinakabahan,16
kinakain,2
kinakausap,2
kinakaya,2
kinalabasan,1
kinalaman,1
kinancel,1
kinanta,1
kinareer,2
kinasal,1
kinatutuwa,1
kinausap,2
kinauukulan,1
kinaya,3
kingian,1
kingina,6
kinginamong,1
kinick,2
kinikilig,24
kinilig,2
kinnam,1
kinopy,1
kinopya,1
kinsemil,1
kinuha,2
kinukumpara,1
kinukupal,2
kisap,5
kitabng,1
kitang,9
klase,5
klaseng,3
klhere,1
klio,1
kliyente,1
kmeng,1
knucks,1
kokaks,1
kokey,1
kokontra,1
kolonyal,1
komportable,1
kondisyon,1
konsumo,1
kontento,1
konti,5
konting,1
koreano,1
korique,1
korni,3
koryano,1
kotse,5
koykoy,1
kuha,3
kuko,1
kukuha,1
kukulit,3
kukumpletihun,1
kukunin,2
kukurutin,1
kulambo,1
kulang,8
kulasa,1
kulay,3
kulet,2
kulog,2
kulong,1
kumag,1
kumain,8
kumakain,1
kumakanta,2
kumakausap,1
kumalabog,1
kumalma,2
kumanta,2
kumausap,1
kumbulsyon,1
kumilos,1
kumokonsumong,1
kumot,1
kumpanya,1
kumpiskahin,1
kumpleto,1
kumprontahin,1
kumuha,4
kumukuha,2
kumukulam,2
kumukulo,2
kumusta,2
kunwari,3
kupal,343
kupalan,1
kupalin,1
kurso,1
kuryente,5
kusina,2
kutob,1
kuwenta,1
kwannie,1
kwarto,3
kwatro,2
kwenta,7
kwentang,3
kwento,4
kwentuhan,1
kwintas,1
kyeom,1
kyot,1
kyuhyun,1
kyut,4
labas,12
labasan,1
lablayp,1
labtim,1
labyu,3
lagay,2
laging,2
laglag,1
lagpas,2
lagyan,3
lahi,1
lahing,1
laitera,1
lakan,1
laking,2
lakwatsera,1
lalabahin,1
lalabo,1
lalake,4
lalakero,1
lalaki,8
lalaking,4
lalamasin,1
lalamig,1
lalamunan,4
lalamunin,1
lalandiin,1
lalanghapin,1
lalapit,3
lalaro,1
lalayas,2
lalong,4
laloves,1
lamig,8
lampas,1
lamunin,1
landian,1
landiin,1
lany,2
lapad,1
lapag,2
lapagan,1
lapit,2
laptrip,7
laro,13
larong,1
lasang,1
lasingerra,1
lasunin,1
laughtrip,2
layag,1
layu,1
layuan,1
lazada,1
laziz,1
leeknow,1
leeseo,1
legarda,1
leleave,2
letche,1
letcheng,1
letrang,1
lhipkram,1
lhor,1
libangan,1
lichi,1
ligaw,1
ligpitin,1
ligtas,1
ligwak,1
liit,1
likod,7
likuran,1
lilipad,1
lilipat,1
limahang,1
limang,5
limutin,1
linggo,6
linis,1
lintek,2
lintik,1
linuklok,1
lipat,4
lisensya,2
listahan,1
litrato,1
liwanag,1
liwayway,1
lizquen,1
lnph,1
lokohin,1
loloadan,1
lolokohin,3
lolook,1
longganisa,1
losestreak,1
louisse,1
lovestory,1
lowkey,4
lowlah,1
lubayan,2
lubog,4
lugaw,1
luha,3
luluhuran,1
lumaban,1
lumabas,11
lumaki,3
lumalabas,4
lumalandi,1
lumandi,2
lumapag,2
lumapit,1
lumayas,4
lumayo,1
lumbay,1
lumilipad,1
luminaw,1
lumipat,3
lumots,2
lumusong,1
luneta,1
lungkot,9
lunurin,1
lutang,7
luto,1
lutong,1
lylia,1
m,1
maadik,1
maaga,5
maagapan,1
maalala,3
maalis,1
maangas,1
maanghang,1
maannounce,1
maasim,3
maattach,1
maawa,1
maayos,13
mababa,2
mabababaw,1
mababago,1
mababaliw,2
mababaw,1
mabagal,1
mabago,1
mabait,3
mabali,1
mabaliw,1
mabanbantayan,1
mabangga,2
mabango,2
mabaog,1
mabasa,1
mabase,1
mabayaran,1
mabenta,1
mabibili,1
mabigay,2
mabilis,1
mabisang,1
mabubuhay,1
mabubulag,1
mabubulok,1
mabudol,2
mabuga,1
mabuksan,1
mabulunan,2
mabuti,4
mabuting,1
macancel,1
macaption,1
madala,1
madalas,3
madaldal,1
madali,3
madaling,5
madamay,1
madami,3
madaming,1
madapa,1
madecline,1
madefend,1
madifferentiate,1
madulas,1
madumb,1
maeenglish,2
maexplain,2
maexpose,1
mafall,1
mafe,1
mafy,1
magagalit,4
magagawa,2
magalala,1
magaling,10
magalit,7
magandagwapo,1
magang,1
magara,1
magaral,2
magascend,1
magastos,1
magawa,9
magaya,1
magayos,1
magbalik,1
magbasa,5
magbayad,1
magbbirthday,1
magbenta,1
magbestie,1
magbigay,2
magbiro,1
magblend,1
magbrereakdown,1
magbuhat,1
magbuhol,1
magbukas,1
magcaption,1
magccat,1
magccp,1
magchat,1
magcheat,1
magcocoment,1
magcommute,2
magdabog,1
magdadiet,1
magdikta,1
magdiwang,1
magdodorm,1
magdorm,1
magdrawing,1
magdrive,2
magdrodrop,1
magedit,1
mageemote,1
magenjoy,1
magets,2
magexcuse,1
magexpand,1
magexpect,1
magexplore,1
magfacebook,1
magfocus,1
magfusion,1
maghahanap,2
maghahate,1
maghahati,1
maghanap,3
maghapon,2
maghatid,1
maghost,1
magiging,7
magigising,1
magiingay,1
magiipon,1
maginom,1
magisa,6
magising,2
magisip,2
magjowa,2
magka,4
magkaayos,1
magkabisado,1
magkacovid,1
magkacrush,1
magkajowa,1
magkaka,1
magkakaroon,3
magkakatubig,1
magkalagnat,1
magkalat,1
magkamanager,1
magkamukha,1
magkano,2
magkapangalan,1
magkasakit,1
magkasama,3
magkasing,1
magkatimer,1
magkikita,1
magkita,1
magkulay,1
magkwento,2
maglaho,1
maglakad,4
maglakbay,1
maglakwatsa,1
maglalayas,1
maglapag,1
maglaro,6
magliligpit,1
magloko,1
magloloko,1
magluto,2
magmakaawa,1
magmamakaawa,1
magmigrate,1
magmodel,1
magmotor,1
magmove,1
magmukhang,1
magmura,2
magnanakaw,2
magnnew,1
magoverthink,1
magpa,1
magpadala,1
magpaka,1
magpakalat,1
magpakita,1
magpanic,1
magpapa,1
magpapahinga,1
magpapakadakila,1
magpapakilala,1
magpapalit,1
magpapamedical,1
magpapanty,1
magpapareseta,1
magpapasa,1
magpapatalo,1
magpapatis,1
magpapatong,1
magpapatulong,1
magpapayabangan,1
magparty,1
magpasalamat,1
magpasukan,1
magpatrending,1
magpatugtog,1
magpili,1
magpopost,2
magpost,1
magppost,1
magpuyat,1
magreklamo,1
magrelapse,1
magrent,1
magreply,4
magrerecruit,1
magrerehab,1
magrereklamo,1
magrereply,1
magreview,1
magsabi,3
magsagot,1
magsalita,4
magsama,2
magsampalan,1
magsangla,1
magsara,1
magsasabi,2
magsasabing,1
magsasaka,1
magsasara,1
magsasawa,1
magself,1
magsesecret,1
magsex,1
magshare,2
magshift,1
magshishift,1
magshota,1
magsilayas,2
magsinunangaling,1
magsipost,1
magsireply,1
magsisi,1
magsleeveless,1
magsnow,1
magsorry,1
magssearch,1
magsstop,1
magsstudy,1
magssuggest,1
magstay,1
magstream,2
magsuty,1
magtampo,1
magtanim,1
magtanong,1
magtatagal,1
magtataka,1
magtatampo,1
magtatrabaho,1
magtext,1
magtinder,1
magtitiis,1
magtiwala,1
magtrabaho,2
magturo,1
magtuturo,1
magtype,2
magulang,5
magulat,1
magupload,1
magustuhan,1
magvalo,1
magwawala,2
magwento,1
magyayakapan,1
mahaba,2
mahagilap,1
mahalaga,4
mahalata,1
mahalin,2
mahanap,1
mahangin,1
mahihimatay,1
mahilig,4
mahimatay,1
mahimbing,1
mahirap,6
mahiya,1
mahuhulog,1
mahuli,2
mahulog,1
maiambag,1
maica,1
maiibigay,1
maiingay,1
maiiyak,1
maiiyot,1
maimagine,1
mainam,1
maingay,6
mainggit,2
mainit,8
mainiti,1
mainjure,1
maintindihan,8
maipaglilingkod,1
maipilit,1
maisend,1
maisip,3
maitim,1
maiwas,1
maiwasan,2
makaabot,1
makaafford,1
makaahon,1
makaalis,1
makabbm,2
makabintang,1
makabuo,1
makadamay,1
makagalaw,1
makagat,1
makagetover,1
makagigil,1
makagv,1
makahinga,4
makaidlip,1
makaintindi,1
makajoin,1
makakaalis,1
makakaheart,1
makakakuha,1
makakalimutan,1
makakalma,1
makakamit,1
makakapag,1
makakapagaral,1
makakapasok,1
makakapunta,2
makakarinig,1
makakasama,2
makakatanggi,2
makakatulog,3
makakatulong,1
makakausap,1
makakita,1
makakuha,1
makalait,1
makalimutan,1
makamot,1
makamove,1
makanood,1
makapag,5
makapagbts,1
makapagconcentrate,1
makapagisip,1
makapaglaro,1
makapagsabi,1
makapagsalita,1
makapagtweet,1
makapal,1
makapaniwala,1
makapasok,1
makapunta,1
makarebat,1
makarelate,2
makasabay,2
makasabi,2
makasali,1
makasarili,1
makatapos,1
makatayo,1
makatigil,1
makatulog,14
makatuluyan,1
makawala,1
makikita,7
makikitang,1
makilala,1
makinig,1
makipag,6
makipagnegosasyon,1
makipagusap,1
makisama,3
makiss,1
makitid,1
maknae,2
makuha,1
makukuha,1
makukulit,1
malagintong,1
malagket,1
malaglag,2
malaglagan,1
malagot,1
malait,1
malakas,12
malaking,5
malala,17
malalalim,1
malalaman,1
malalate,1
malaman,6
malamang,7
malamangan,1
malambot,1
malamig,1
malandi,4
malapit,11
malaro,1
malasin,1
malasing,1
malayuan,1
maliban,2
malibog,2
maligayang,1
maligo,1
maliit,2
maliligayang,1
maliligo,2
malinaw,1
malinawagan,1
malinis,5
malogin,1
maloloko,1
malolos,1
malungkot,5
malunod,1
malupet,1
malupit,1
malutong,4
mamaga,1
mamahal,2
mamahaling,1
mamakaawa,1
mamalimos,1
mamalinis,1
mamamatay,6
mamamayan,1
