word,frequency
austrlia,1
autoicon,1
avehanon,1
avellano,1
awaaw,5
awading,1
awalay,1
awit,8
awitan,1
awop,2
awstralya,3
awto,25
awtobiyograpiya,1
awtomatik,1
awtonomiya,1
awtor,1
awtoridad,17
ayae,1
ayawg,2
ayha,1
ayoha,1
ayohon,5
ayon,1
ayos,4
ayoson,1
ayroplano,1
ayskrim,9
aysti,2
aytona,1
ayuhon,1
ayungin,1
ayusa,1
ayuson,1
azareel,1
azarias,1
azeka,1
azmaveth,2
azubah,1
azucarera,1
azufre,2
b,1
ba,988
baala,1
baalanan,2
baalath,1
baalathbeer,1
baalhanan,1
baalis,1
baalpeor,5
baalzebub,1
baarumnon,1
baasa,1
baaybayon,1
babaeng,1
babag,2
babasahon,1
babaye,340
babayehana,1
babayeng,8
babayi,2
babayon,1
baboy,28
baboyan,1
babye,1
baccay,1
baclaran,2
bacoor,3
bacsilog,1
bactol,1
badlis,1
badlonganon,1
badlungonpagtarong,1
badlungun,2
baduy,1
badyet,4
baga,13
bagafora,1
bagahan,1
bagahe,3
baggao,1
bagii,1
bagko,1
bagkoa,1
bagng,1
bagobos,1
bagohay,3
bagon,1
bagsupporters,1
bagtak,1
bagtok,1
bagug,1
baguhon,1
bagulbolan,1
bagumbayan,3
bagyo,14
bagyong,18
bagyud,1
bahagi,1
bahal,1
bahalag,1
bahandi,20
baharan,1
bahaw,1
bahil,1
bahin,164
bahing,1
baho,21
bahura,2
bahurim,1
baira,1
bajud,2
bakak,11
bakakon,10
bakakong,1
bakal,3
bakante,5
bakanteng,1
bakasyon,9
bakgrawni,2
bakhaw,3
bakilid,1
bakkungaan,1
bakla,1
baklay,1
bakood,1
baktas,9
baktason,1
baktin,2
bakuna,3
bakyawa,2
balaan,73
balaang,18
balaanon,2
balabag,3
balac,30
balagon,1
balahibo,3
balahiboon,1
balakang,1
balalatok,1
balamban,1
balanga,1
balangaw,2
balangay,6
balanghoy,11
balangkas,2
balaod,42
balaodnon,5
balara,1
balatang,1
balatian,3
balatucan,1
balatukan,2
balaudnon,1
balaudnong,1
balaya,15
balayampoanan,1
balayamponan,1
balayng,1
balaypulong,2
balaytambalanan,2
balaytuonanan,1
baldemora,1
baldeng,2
balentino,1
balewala,1
balewalaon,1
balhibo,6
balhiboon,1
balhin,2
baliangao,1
baligho,1
baligtad,1
baligya,4
baligyaan,2
baligyaanan,1
balikan,1
balikbalik,1
balikon,3
baliktad,1
balili,5
balimbing,1
balinghoy,1
balinsasayao,3
balisbisan,8
balitaa,1
balitanghali,1
balitaron,1
balkonahe,2
balod,1
balong,1
balongbalong,83
balud,3
balus,3
balutan,1
baluyot,4
balyena,42
balyenang,1
bamoth,1
bampira,3
banahaw,1
banalam,1
banatayan,1
banay,98
banayoyo,1
bandehado,1
bandihado,2
bandihadong,1
bandila,16
banez,1
bangag,1
bangaw,3
banggiitan,1
banghilig,2
bangkaw,4
bangkua,1
bangon,1
bangsilog,5
bangus,5
banha,2
banig,1
bannawagan,1
banog,1
bansa,1
bantag,2
bantaw,1
bantay,8
bantayan,17
bantayanan,2
bantayanang,2
bantayancebu,1
bantayi,2
bantog,20
bantogan,2
bantogang,1
bantug,2
bantugan,3
bantugang,1
bantuk,2
banwa,1
banyaga,1
baog,1
baon,1
baos,7
bapor,2
baraha,2
barako,1
barangan,1
baranggay,2
barayuga,2
barberya,1
barhumhanon,1
barkilyos,6
barko,25
barkoha,1
barrabas,3
barsoon,1
bartko,1
baruganan,10
baryo,34
basaha,2
basahon,28
basakan,4
basan,3
basanbasan,1
baseco,1
basehan,5
basehanan,1
basemath,1
basig,9
basihan,1
basikong,1
basilika,1
basko,1
baslan,1
baso,30
basong,2
basulon,1
bataa,9
batabalonos,1
batakan,1
batalya,1
batanon,40
batanong,18
batasan,16
batasana,1
batasang,1
batawa,1
batay,1
batbat,1
batel,2
batid,1
batiis,4
batiun,1
batoha,3
batong,2
batonon,1
baunon,1
bautismo,3
bawal,6
bawalan,1
bawean,1
bayad,9
bayadunon,1
bayagbag,1
bayaning,1
bayaran,1
bayaw,6
bayawa,2
bayawan,9
bayawon,1
baybay,15
baybayon,36
bayente,3
bayentesais,1
bayhana,1
bayinte,1
bayintesingko,1
bayith,1
bayk,8
baylo,5
bayloay,1
baylohan,1
baynte,8
bayolet,11
bayong,1
bayot,15
bayran,1
bayranan,1
bayrunon,2
bayy,1
bdelio,1
bealoth,1
beeliada,1
beelzebu,2
beerlahairoi,1
beeroth,1
beerothbenejaacam,2
beerseba,8
behmangutana,1
belah,1
bellii,1
belsasar,1
benadad,1
benaia,5
benaias,1
bendisyon,2
beneberak,1
benejaakan,3
benepisyo,1
benjaminhon,1
bentaha,2
bentilador,2
beor,2
beranda,11
berberabe,1
berde,9
berdeng,3
berias,1
bernardita,1
bersikulo,2
bersyon,3
bertdey,1
beser,1
beses,3
bestida,3
betabel,1
betacarotene,1
betharaba,2
bethazmaveth,1
bethdiblataim,1
bethgamul,1
bethmarchabot,1
bethmeon,1
bethpelet,2
bethpeor,3
bethpua,1
bethpur,1
bethsemes,1
bethzur,1
beysbol,3
bezec,1
bibinlan,2
bibliya,2
bicutan,1
bidlisi,1
bidyo,2
bidyu,1
bigaon,6
bigute,1
bihag,2
bihira,2
bihud,1
bika,1
biklonon,1
bikolano,1
bikolono,1
biktima,46
bikumbong,2
bilad,1
bilanggoan,14
bilding,11
bildo,2
bilga,1
bilgai,1
bilha,8
bilhan,1
bilibid,4
bilihon,1
bililhon,3
bililhong,1
bilonggo,1
bilubilo,2
bilyete,1
bilyon,4
bilyonaryo,1
bilyunbilyong,1
binabaye,2
binadbaran,1
binaksan,1
binalaan,1
binalaye,3
binangan,2
binantayan,1
binantayang,1
binatonan,14
binatonang,2
binaw,1
bingbing,1
bingka,2
binhi,16
binihag,8
binilanggo,9
binisahan,1
binisaya,2
biniyaan,4
binnui,1
bintaha,1
bintana,39
binturong,3
binuang,18
binuangan,1
binuangi,2
binubulay,1
binugkan,3
binuhat,12
binuhatan,3
binuhi,3
binuhian,1
binuhing,1
binulahan,1
binulan,2
binuweltahan,1
birhen,2
bisag,45
bisan,662
bisang,1
bisaya,3
bisayas,1
bisbis,2
biseklato,1
bisekleta,3
biseklita,1
bisikleta,7
bisita,21
bisitahan,2
bisitahi,1
bisitahon,1
biskwit,3
bisong,2
bisotia,1
bisti,38
biswal,1
bisyo,6
bisyoha,1
bisyong,1
bitag,1
bitamina,2
bitayan,1
bitbiton,1
bitiis,3
bitik,3
bitok,1
bitokon,2
bitoon,12
bituon,24
biwenas,1
biyaaan,1
biyaan,13
biyae,5
biyahe,14
biyai,3
biyernes,17
biyhae,1
biyolin,1
biyolohiya,2
blonda,1
bluberi,3
blusa,1
boaan,1
boang,5
boangboang,5
bodbod,1
bokabularyo,2
bokal,1
bolabola,2
bolkan,1
bolkang,1
bolpen,9
bolpena,1
boluntaryo,2
boluntaryong,1
bombero,2
bongbong,9
boopis,2
bopeep,1
borlas,2
boscath,1
boses,1
botaniko,1
botar,2
botelya,19
botika,3
botilya,2
botilyang,1
boton,1
boustrophedon,1
braso,1
brayt,1
breiwick,1
breo,1
breyndamids,1
brilyante,3
britaniko,1
britanya,1
brodkas,1
brokuli,1
brosyur,1
bruha,1
brunhild,1
buakon,1
buangbuang,37
buaya,7
bubog,1
bubong,1
bubuan,1
bubuyog,2
bucor,2
budismo,8
budista,10
budistaanimista,1
bufanda,1
bugambilya,2
bugas,6
bugat,9
bugata,1
bugay,3
bughaw,6
bugnaw,15
bugo,1
bugok,1
bugos,12
bugoy,2
bugsikan,2
bugtong,5
buhan,2
buhangan,1
buhangin,1
buhat,75
buhata,24
buhatan,6
buhati,3
buhatin,1
buhaton,164
buhatonon,3
buhatunon,2
buhi,86
buhian,5
buhii,2
buhing,4
buhion,2
buhis,6
buhok,56
buitre,1
bukag,15
bukas,5
bukasa,2
bukaw,1
bukha,1
bukid,133
bukira,4
bukirin,1
bukirong,1
buklaron,3
buknoy,2
buko,26
bukog,15
buksan,1
bukstor,1
bukton,8
buktun,1
bulad,1
bulag,6
bulagaw,2
bulahan,10
bulak,92
bulakan,1
bulalakaw,1
bulana,8
bulang,1
bulaw,2
bulawan,38
bulawanong,1
bulbol,1
bulig,1
buling,2
bulkan,18
bulohatan,1
bulohaton,26
bulok,2
bulsa,2
bulsalike,1
buluhato,1
buluhaton,16
bumagsak,1
bumalik,4
bumangon,3
bumbero,2
bumbong,3
bumulag,1
bumuot,2
bunal,6
bunalan,1
bunali,1
bundok,3
bundokbundokan,1
bungat,2
bungbong,7
bungnaw,1
bungol,4
bungot,2
bungtod,22
bunog,1
bunso,1
bunta,1
buntag,80
buntaga,6
buntis,1
buntod,13
buntodbuntod,1
buntog,1
bunyaganan,1
buongon,1
buot,69
buotan,18
buotbuot,2
buotpasabot,1
burikat,1
buriko,1
buruka,1
busal,1
busalan,1
buslo,4
buslong,1
buslot,3
busog,5
busok,1
busyhan,1
butag,1
butanagan,1
butang,180
butanga,65
butangan,8
butanganan,3
butanganang,1
butangbutang,1
butangi,2
butete,2
butiki,3
butil,1
butngan,1
buto,5
butones,3
butong,16
butonis,1
buut,1
buwad,1
buwagan,2
buwak,8
buwaka,2
buwan,3
buwis,1
buwitre,2
buybust,3
buynas,1
buyog,5
buysit,1
byahe,3
byahi,2
byente,1
byetnames,3
byuda,1
c,9
caasper,1
cabilin,1
cabon,1
cabusilan,2
cadesbarnea,2
caifas,1
cajepe,3
cajipe,1
calah,1
calamian,1
calamon,1
calauit,5
caldeahanon,5
caldeanhon,1
caldehanon,1
calebephrata,1
callai,1
calmian,1
camballa,1
cambaya,2
camello,6
camon,1
canaanhon,14
canlaon,2
capatas,1
capricornis,1
carcar,1
caril,1
carmelohanon,1
carnapping,1
carnero,96
carnerong,1
carromata,3
casecnan,1
casipit,1
castigo,1
casuy,2
cataingan,1
catarman,1
cawit,1
cebada,3
cedemoth,1
cedmonehanon,1
ceelatha,2
cenesehanon,1
cenez,1
ceratobatrachidae,1
cerealis,1
cesil,1
cetro,1
cezon,1
champurado,3
chedorlaomer,3
chelion,1
cheluhi,1
cheriothhesron,1
chicharon,1
chiriathjearim,1
chiriatsana,1
chiryataim,1
chitlis,1
chizuno,1
chosilog,4
churaumi,1
churig,1
cidg,2
ciervo,1
cigue,1
cinehanon,4
circuncicion,3
circuncidahan,2
circuncidahi,1
circuncidahon,1
circuncision,4
cittim,1
ciudara,14
claveria,1
coath,20
coathanon,1
coathihanon,2
coelenteron,1
coenosteum,2
colugos,1
columellae,1
condicion,2
congbid,1
consolacion,1
copiosa,1
corallite,12
corallum,1
corleto,1
corvejon,1
costae,1
covid,47
cppnpa,2
crame,1
crassicauda,1
creactive,1
crisanto,1
crocidura,1
crypsis,1
cubay,1
culanag,1
culantro,2
culiat,1
cullamat,7
cyberbullying,1
cycloseris,1
d,2
daang,3
dadan,3
dadon,17
dagami,5
dagat,96
dagatdagat,2
daghag,7
daghan,196
daghanan,3
daghanang,1
daghang,370
daghay,1
dagitabyan,1
dagko,20
dagkong,19
dagku,8
dagkung,10
dagom,1
dagta,1
dagum,2
dagway,9
dahil,1
dahom,4
dahum,1
dahun,1
dahunog,1
dakbalay,8
dakbalaya,2
dakbayan,48
dakoa,2
dakong,56
dakpa,2
dakpon,1
daku,41
dakua,1
dakung,30
dalaa,3
dalag,18
dalaga,15
dalagan,1
dalagang,7
dalagita,1
dalaha,2
dalahi,1
dalahon,2
dalaka,1
dalana,1
dalandan,2
dalandanan,1
dalangpanan,15
dalayegon,4
dalaygon,1
dalha,1
dalhon,5
dalii,2
dalikwat,1
daling,1
dalogdog,1
dalon,5
dalonggan,2
dalphon,1
dalubagham,4
dalubtala,1
dalubtao,1
dalubwika,2
dalugdog,1
dalunggan,13
damalerio,1
damang,1
damgo,40
damha,1
damhang,2
danaw,2
danding,1
danghag,4
danghagmahitungod,1
danlog,1
daob,1
daoban,1
daog,1
daot,2
daotan,9
daotang,2
dapig,2
dapigan,1
dapit,122
dapita,27
dapitan,3
dapitngapuloyanan,1
daplin,19
dapog,1
daraga,1
daruhan,2
dasigon,1
dasok,1
databeys,1
dataging,1
dauban,1
dauin,1
dautan,53
dautang,14
dawat,2
dawata,3
dawaton,5
dawntawn,1
dayag,6
dayalekto,1
dayandayan,2
dayaper,1
dayari,1
dayega,1
dayegon,2
dayong,3
daytoy,1
dayu,1
dayun,10
de,43
debir,2
debold,2
defenseregion,1
defese,1
degri,2
dehuel,1
dekada,4
deklarasyon,1
dekorasyon,1
dekorasyonan,1
delaias,1
deliberi,1
delikado,6
demafelis,3
demograpiko,1
demokrasya,3
demokratiko,1
demonyo,1
demonyoha,1
dengdeng,4
denominasyon,1
depekto,1
depensa,1
depresyon,1
desinyo,1
desisyon,32
desiyon,1
desyerto,1
detalyado,1
detalye,3
detensyon,1
dexterityaron,1
diara,1
diay,54
dibon,4
dibongad,3
diborsyo,2
dibuho,1
dicla,2
didan,2
didto,508
didtoa,6
didtoawalay,1
didtong,1
didtoy,4
didtto,1
digmaang,1
digto,7
diha,351
dihadiha,17
dihang,27
dihay,51
dihihog,1
diili,1
diin,80
dikatayan,1
diksiyunaro,1
diksiyunaryo,3
diksyonari,3
diksyonary,1
diksyonaryo,6
diksyunaryo,6
dilan,1
dilanga,1
dilaw,1
dilia,1
dilicetacean,1
dilikado,1
dilis,1
dimaculangan,1
dimensyon,1
dinadiawan,1
dinaguok,1
dinahunog,1
dinakpan,2
dinakup,1
dinalang,1
dinalian,1
dinangoyngoy,1
dinapit,1
dinasawro,1
dinato,1
dindin,6
dindo,1
dinha,4
dinhay,2
dinhi,107
dinhing,2
dinihog,3
dinosawro,1
dinuguan,3
dinuguang,2
dinumtan,2
dionel,1
diosdios,7
diosnon,1
diperensiya,1
diperensya,1
diplomasya,1
dirang,1
direksyon,14
direkta,5
direktorprodyuser,1
direktoryo,2
diretso,4
diria,8
diring,3
diristo,1
diritso,1
diriyot,1
diriyut,6
disan,1
disenyo,1
disertasyon,1
disgrasya,4
disiplina,3
disiplinado,1
diskarte,9
diskubre,1
diskusyon,2
diskyonari,1
diskyonaryo,1
dison,2
distansya,1
disti,1
distribusyon,1
disturbo,1
disyembre,11
disyerto,7
ditas,1
diwindi,2
diyakono,1
diyalogo,1
diyametro,1
diyande,1
diyaryo,3
diyes,3
diyosesis,1
diyot,2
diyutay,20
dobli,2
dodong,5
doeg,1
dogmatiko,1
doktrina,2
dokumentado,2
dokumentasyon,2
dokumento,2
dolang,4
dolyar,5
dolyares,1
dominanteng,2
dominggo,21
donasyon,1
dopka,1
dosanyos,1
dosdos,1
dosena,1
dotham,1
dotr,2
drayb,8
drayber,12
draybir,2
dricho,2
drugas,1
duaw,2
duawon,5
duclog,1
dudosu,2
duga,9
dugang,8
dugangi,1
dugay,65
dugaya,1
dugaydugay,1
dugayng,1
duggabon,1
dughan,25
dughanngatinabyog,1
dugo,105
dugoa,2
dugokon,2
dugom,1
dugongidae,1
dugoong,1
dugos,2
duguong,1
duha,200
duhaduha,6
duhakatlo,1
duhang,1
duhat,4
duhay,5
duhiraw,1
duktur,1
dulaa,2
dulaan,10
dulai,2
dulan,1
dulang,2
dulom,1
dulon,4
dulumtanan,15
dulungan,2
dumagsang,1
dumah,1
dumalaga,4
dumali,2
dumamba,1
dumanguilas,1
dumanquilas,1
dumating,1
dumtan,1
dumuduaw,1
dumudugopuso,1
dumuloong,33
dumuol,6
dunay,17
dungag,2
dungagi,1
dungawan,1
dunggab,1
dunggaba,2
dunggabon,1
dunggan,4
dungganan,1
dungganon,1
dunggoanan,5
dungogdungog,1
dunot,5
duol,58
duolan,3
duolon,1
duot,1
duruha,85
duslaka,1
duterte,24
dutertecarpio,2
duwende,1
duyan,1
duyog,2
dyaket,5
dyam,2
dyamante,1
dyaryo,3
dyeli,2
dyip,1
dyis,1
dyud,1
dyus,11
dyutay,5
e,6
ebal,2
ebedmelech,1
ebeg,1
ebidensiya,1
ebidensiyaha,2
ebidensya,9
ebolusyon,3
ebyang,1
echanis,3
ecoturismo,1
ecron,3
edaran,4
edilberto,1
edipisyo,3
edomhanon,1
edralin,2
edrei,1
edtados,1
edukado,1
edukasyon,5
eeclair,1
efeso,2
egiptohanon,30
egiptohaonon,1
egiptol,1
eglaim,1
ehekutibo,2
ehemplo,2
ehersisyo,1
ehipto,4
ejk,1
ekmek,1
ekonomista,2
ekonomiya,8
eksaktong,1
eksam,7
eksamen,3
eksaminasyion,1
eksayted,1
eksepsiyon,1
eksobiyolohiya,3
ekspedisyon,4
eksperimento,3
eksperimentong,1
eksperto,6
eksplosibo,1
=======
agrikultura,2
agtang,2
agupop,1
ahensya,4
ahia,1
ahisar,1
aholibama,1
ahumai,1
aklat,1
akoa,22
akoang,21
akoy,7
aksidente,4
aksyon,1
aktibo,6
aktor,1
akusado,1
alagad,7
alagang,2
alahas,4
alaosto,1
alaut,2
alawiton,2
albularyo,1
alemansya,1
alemanya,4
alerdyik,1
alho,1
alibangbang,1
alijam,2
alilang,1
alimango,1
alimuot,1
allingi,2
allopyge,1
almondiblataim,1
alokasyon,1
alsahon,1
alternatibo,1
alveopara,1
alveopra,1
alyenihena,1
amahan,62
amalekahanon,1
amang,3
amarias,1
amasias,1
amaw,7
ambak,2
ambot,2
amerikana,1
amerikano,9
amihanang,6
amimislon,17
amoa,3
amoang,4
amorehanon,3
ampay,1
ampibyo,1
ampullae,1
amua,1
an,1
anaa,43
anaay,3
anachanon,1
anaktapos,1
anamanam,1
anang,2
anathoth,1
anciano,8
andakan,1
andam,6
andanas,1
andap,1
angat,1
angaw,2
angay,19
angayan,2
angkas,2
angkon,1
anha,3
anhi,1
animista,1
aning,12
anitos,1
antiamerikan,1
antigones,1
antipara,2
anusa,5
anyag,2
anyos,2
apapangig,2
aparador,1
apelyido,2
apendise,7
apheca,1
apilyedo,1
aplaya,1
apodapod,1
apomys,6
apostoles,1
apreloved,1
apuli,2
arabadehanon,1
arabah,1
aralin,1
aranghita,1
aratiles,1
arestado,2
arganite,1
ariglado,1
arites,1
arkeologo,1
arkitektura,1
aroer,1
arong,1
arphaxad,1
arsiel,1
arterya,2
asagaran,1
asawag,1
asawang,1
asaynment,1
asdod,1
asiria,1
asno,11
asoy,1
astang,1
astronomiya,3
asukar,5
asul,11
asulberde,1
asupri,1
aswang,1
atabay,12
atakehon,1
atay,33
atbang,3
atensiyon,1
atibook,1
atimana,1
atlantiko,4
atoa,3
atoang,2
atong,32
atraksyon,1
atua,7
atuang,1
atubang,1
atubangan,56
atubangon,1
atwubangan,1
awaaw,6
awalay,1
awaya,1
awstralya,1
awtomatik,1
awtor,1
awtoridad,6
ay,4
ayae,1
ayoha,1
ayohon,1
ayos,1
ayskrim,1
aysti,1
azubah,1
baalathbeer,1
baalpeor,2
babag,2
babaye,91
babayeng,4
baboy,19
baboyan,1
bacab,1
badlungun,1
badyet,2
baga,14
bagkoa,1
bagohay,2
bagyo,2
bagyong,2
bahalag,1
bahandi,11
bahandianon,1
baharan,1
bahil,1
bahin,54
baho,5
bahura,1
bajud,1
bakak,2
bakakon,6
bakakong,1
bakal,1
bakante,2
bakanteng,1
bakasyon,2
bakgrawni,2
bakhaw,2
bakilid,1
baklay,1
baktin,2
balaan,12
balaang,3
balabag,1
balac,4
balagon,1
balahibo,2
balakang,1
balangay,1
balanghoy,4
balaod,10
balaodnon,1
balastoaron,1
balatian,2
balaudnong,1
balaya,2
balaytambalanan,2
baldeng,1
balentino,1
balhibo,2
balhin,1
baliangao,1
baligho,1
baligtad,1
baligya,1
baliko,1
balili,1
balinsasayao,1
balitaron,1
balkonahe,1
balongbalong,12
balud,1
baluyot,1
balyena,22
balyenang,1
bampira,1
banatayan,1
banay,17
bandihadong,1
bandila,3
banez,1
bangag,1
bangaw,1
bangkaw,2
bangon,1
bangsilog,3
bangus,1
banha,1
banhawa,1
bansayon,1
bantayan,3
bantog,6
bantogan,1
bantug,1
bantugan,1
bantugang,2
bantuk,2
baog,1
bapor,1
barayuga,2
barberya,1
barko,7
barrabas,2
bartko,1
baruganan,2
baryo,6
basahon,7
basakan,2
basan,2
basig,1
basihan,1
basikong,1
baso,4
basurahan,1
bataa,2
batalya,1
batanon,9
batanong,1
batasan,7
batawa,1
batbat,1
batiis,1
batikbatik,1
batiun,1
batoha,1
batonon,1
bautismo,1
bayad,4
bayaning,1
bayaw,1
bayawan,2
baybay,5
baybayon,11
bayintesingko,1
bayk,1
baylo,1
baylohan,1
baynte,2
bayolet,3
bayot,3
bayranan,1
bayy,1
beelzebu,6
