<<<<<<< HEAD
Language,Sentence,POS,Censored Sentence
cebuano,hayop ka pati asawa ko inahas mo,|HAYOP|RBF |KA|PRS |PATI|CCA |ASAWA|NNC |KO|PRS |INAHAS|VBOF |MO|PRS,***** ka pati asawa ko inahas mo
cebuano,alis na tayo mamaya,|ALIS|NNC |NA|CCP |TAYO|PRP |MAMAYA|RBW,alis na tayo mamaya
tagalog,punyetang hugasan yan,punyetang|RBD|CCP |HUGASAN|VBOF |YAN|PRO,punyetang hugasan yan
tagalog,punyeta hugasan mo lahat ng yan,|PUNYETA|NNC hugasan|VBTF|VBOF |MO|PRS |LAHAT|PRI |NG|CCB |YAN|PRO,******* hugasan mo lahat ng yan
tagalog,nakakabanas pag mumukha mo,|NAKAKABANAS|VBTR |PAG|CCR |MUMUKHA|VBOF |MO|PRS,nakakabanas pag mumukha mo
bikol,puspusan ang gawain,|PUSPUSAN|JJD |ANG|DTC |GAWAIN|NNC,puspusan ang gawain
cebuano,san ka na naman pupuntang tanga ka,|SAN|RBQ |KA|PRS |NA|CCP |NAMAN|RBI pupuntang|NNC|CCP |TANGA|JJD |KA|PRS,san ka na naman pupuntang ***** ka
bikol,mali mali nilalabas sa FNLI,|MALI|JJD |MALI|JJD |NILALABAS|VBTR |SA|CCT |FNLI|NNPA,mali mali nilalabas sa FNLI
tagalog,nakakainis naman ang mga ginagawa mo,|NAKAKAINIS|VBTR |NAMAN|RBI |ANG|DTC |MGA|DTCP |GINAGAWA|VBTR |MO|PRS,nakakainis naman ang mga ginagawa mo
bikol,yudeputa ta natakdag su aki,yudeputa|VBTR|VBAF |TA|NNCA |NATAKDAG|VBTS |SU|NNCA |AKI|NNC,******** ta natakdag su aki
tagalog,shuta dami naman niyan,|SHUTA|FW |DAMI|NNC |NAMAN|RBI |NIYAN|PRO,***** dami naman niyan
tagalog,ay masama pala yon,|AY|LM |MASAMA|JJD |PALA|NNC |YON|PRO,ay masama pala ***
tagalog,kingina mo mandurugas,|KINGINA|VBTS |MO|PRS |MANDURUGAS|VBW,kingina mo mandurugas
bikol,kinginang yan manggagantso,|KINGINANG|VBTR |YAN|PRO |MANGGAGANTSO|VBW,kinginang yan manggagantso
bikol,hala mali mali ang detection,|HALA|NNC |MALI|JJD |MALI|JJD |ANG|DTC |DETECTION|FW,hala mali mali ang detection
cebuano,hala kung san san na nag hanap,|HALA|NNC |KUNG|RBK |SAN|RBQ |SAN|RBQ |NA|CCP |NAG|VBTS |HANAP|NNC,hala kung san san na nag hanap
tagalog,putangina mo mang aagaw ka,|PUTANGINA|JJCC |MO|PRS mang|RBI|CCP |AAGAW|VBTF |KA|PRS,********* mo mang aagaw ka
bikol,tungagon ka gabos na gibo gibo mo sarala,|TUNGAGON|VBOF |KA|PRS |GABOS|JJD |NA|CCP |GIBO|NNC |GIBO|RBM |MO|PRS |SARALA|NNC,******** ka ***** na gibo gibo mo sarala
cebuano,hayop ka mang gagamit ka,|HAYOP|RBF |KA|PRS mang|RBI|CCP |GAGAMIT|VBTF |KA|PRS,***** ka mang gagamit ka
bikol,nakakabanas na ang mga ginagawa natin,|NAKAKABANAS|VBTR |NA|CCP |ANG|DTC |MGA|DTCP |GINAGAWA|VBTR |NATIN|PRP,nakakabanas na ang mga ginagawa natin
cebuano,hala ka madasmag ka ngani,|HALA|NNC |KA|PRS |MADASMAG|VBW |KA|PRS |NGANI|NNC,hala ka madasmag ka ngani
cebuano,ano na nangyayare dito,|ANO|PRQ |NA|CCP |NANGYAYARE|VBTR |DITO|PRL,ano na nangyayare dito
tagalog,ano na naman ang ginagawa mo,|ANO|PRQ |NA|CCP |NAMAN|RBI |ANG|DTC |GINAGAWA|VBTR |MO|PRS,ano na naman ang ginagawa mo
bikol,pucha kabadtrip ka ha,|PUCHA|JJD |KABADTRIP|NNC |KA|PRS |HA|NNCA,***** kabadtrip ka **
tagalog,ano ba nangyare sainyo,|ANO|PRQ |BA|RBI |NANGYARE|VBTS |SAINYO|NNC,ano ba nangyare sainyo
tagalog,tangina mo bobo,|TANGINA|JJCC |MO|PRS |BOBO|NNC,******* mo ****
tagalog,tangina non halimaw eh,|TANGINA|FW |NON|FW |HALIMAW|FW |EH|FW,******* non halimaw eh
tagalog,napaka gago mo kahit kailan,|NAPAKA|JJCS |GAGO|RBD |MO|PRS |KAHIT|CCT |KAILAN|PRQ,****** **** mo ***** kailan
tagalog,hayop na yan ako laging nakikita,|HAYOP|NNC |NA|CCP |YAN|PRO |AKO|PRS laging|RBD|CCP |NAKIKITA|VBTR,***** na yan ako laging nakikita
tagalog,san ka pupunta,|SAN|RBQ |KA|PRS |PUPUNTA|VBTF,san ka pupunta
tagalog,ang ganda mo miss baka pwede pakiss,|ANG|DTC |GANDA|NNC |MO|PRS |MISS|FW |BAKA|RBM |PWEDE|RBT |PAKISS|NNC,ang ganda mo miss baka pwede pakiss
tagalog,kiskisin mo mukha mo gago,|KISKISIN|VBOF |MO|PRS |MUKHA|NNC |MO|PRS |GAGO|NNC,kiskisin mo mukha mo ****
tagalog,pakipot kapa gusto mo rin naman halika na,|PAKIPOT|JJD |KAPA|NNC |GUSTO|VBS |MO|PRS |RIN|RBI |NAMAN|RBI |HALIKA|NNC |NA|CCP,pakipot kapa gusto mo rin naman halika na
bikol,maka patalon ang mga tawong ini,|MAKA|VBW |PATALON|VBW |ANG|DTC |MGA|DTCP tawong|NNC|CCP |INI|FW,maka ******* ang mga tawong ini
tagalog,tangina nadapa yung bata,|TANGINA|JJCC |NADAPA|VBTS |YUNG|PRO |BATA|NNC,******* nadapa **** bata
bikol,ang bobo naman netong nakasabay ko,|ANG|DTC |BOBO|JJD |NAMAN|RBI netong|NNC|CCP |NAKASABAY|VBTS |KO|PRS,ang **** naman netong nakasabay ko
bikol,mali mali ang resultang nilalabas,|MALI|JJD |MALI|JJD |ANG|DTC resultang|NNC|CCP |NILALABAS|VBTR,mali mali ang resultang nilalabas
bikol,masaen kana namang pusngak ka,|MASAEN|FW |KANA|FW namang|RBI|CCP pusngak|VBTS|VBAF |KA|PRS,masaen kana namang pusngak ka
bikol,palak palak kana noi pag purupundo naman,|PALAK|RBD |PALAK|RBD |KANA|JJCC |NOI|FW |PAG|CCR |PURUPUNDO|NNC |NAMAN|RBI,palak palak kana noi pag purupundo naman
tagalog,punyetang gawain toh hindi na natapos,punyetang|JJD|CCP |GAWAIN|NNC |TOH|FW |HINDI|RBF |NA|RBI |NATAPOS|VBTS,punyetang gawain toh hindi na natapos
bikol,punyeta ang nababasa,|PUNYETA|NNC |ANG|DTC |NABABASA|VBTR,******* ang nababasa
cebuano,hayop ka mang aagaw,|HAYOP|RBF |KA|PRS mang|RBI|CCP |AAGAW|NNC,***** ka mang aagaw
bikol,nakakahiya ang nilalabas na resulta tangina,|NAKAKAHIYA|VBTR |ANG|DTC |NILALABAS|VBTR |NA|CCP |RESULTA|NNC |TANGINA|NNC,nakakahiya ang nilalabas na resulta *******
bikol,masaya doon sa labasan maraming tinda,|MASAYA|JJD |DOON|PRL |SA|CCT |LABASAN|NNC maraming|PRI|CCP |TINDA|NNC,masaya doon sa labasan maraming tinda
bikol,masaya doon sa labasan maraming tinda,|MASAYA|JJD |DOON|PRL |SA|CCT |LABASAN|NNC maraming|PRI|CCP |TINDA|NNC,masaya doon sa labasan maraming tinda
bikol,napaka ganda ng inyong kasuotan mga binibini,|NAPAKA|JJCS |GANDA|NNC |NG|CCB inyong|PRSP|CCP |KASUOTAN|NNC |MGA|DTCP |BINIBINI|NNC,****** ganda ng inyong kasuotan mga binibini
bikol,napaka ganda ng inyong kasuotan mga binibini,|NAPAKA|JJCS |GANDA|NNC |NG|CCB inyong|PRSP|CCP |KASUOTAN|NNC |MGA|DTCP |BINIBINI|NNC,napaka ganda ng inyong kasuotan mga binibini
tagalog,nag sayaw kami kagabi sa sayawan,|NAG|VBTS |SAYAW|NNC |KAMI|PRP |KAGABI|RBW |SA|CCT |SAYAWAN|NNC,nag sayaw kami kagabi sa sayawan
bikol,masaya doon sa labasan maraming tinda,|MASAYA|JJD |DOON|PRL |SA|CCT |LABASAN|NNC maraming|PRI|CCP |TINDA|NNC,masaya doon sa labasan maraming tinda
bikol,napaka ganda ng inyong kasuotan mga binibini,|NAPAKA|JJCS |GANDA|NNC |NG|CCB inyong|PRSP|CCP |KASUOTAN|NNC |MGA|DTCP |BINIBINI|NNC,napaka ganda ng inyong kasuotan mga binibini
tagalog,nag sayaw kami kagabi sa sayawan,|NAG|VBTS |SAYAW|NNC |KAMI|PRP |KAGABI|RBW |SA|CCT |SAYAWAN|NNC,nag sayaw kami kagabi sa sayawan
bikol,nanonood kami ng telebisyon kasama ang pamilya,|NANONOOD|VBTR |KAMI|PRP |NG|CCB |TELEBISYON|NNC |KASAMA|CCB |ANG|DTC |PAMILYA|NNC,nanonood kami ng telebisyon kasama ang pamilya
bikol,magandang gabi sa inyong lahat aalis na po ako,magandang|JJD|CCP |GABI|RBW |SA|CCT inyong|PRSP|CCP |LAHAT|PRI |AALIS|VBTF |NA|CCP |PO|RBS |AKO|PRS,magandang gabi sa inyong lahat aalis na po ako
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka talaga wala ka na dapat dito sa mundo
bikol,umiiyak si Lottie dahil sa putangina niyang asawa,umiiyak|VBTR|VBAF |SI|DTP |LOTTIE|NNP |DAHIL|CCR |SA|CCT |PUTANGINA|NNC niyang|PRS|CCP |ASAWA|NNC,umiiyak si Lottie dahil sa ********* niyang asawa
cebuano,gago tumalon ka kasi agad kaya ka nalaglag,|GAGO|RBD tumalon|VBTS|VBAF |KA|PRS |KASI|CCR |AGAD|RBW |KAYA|CCR |KA|PRS |NALAGLAG|VBTS,**** tumalon ka kasi agad kaya ka nalaglag
bikol,Napaso siya sa kaldero dahil sa gago na tumulak sa kanya,|NAPASO|VBTS |SIYA|PRS |SA|CCT |KALDERO|NNC |DAHIL|CCR |SA|CCT |GAGO|NNC |NA|CCP |TUMULAK|VBAF |SA|CCT |KANYA|PRSP,Napaso siya sa kaldero dahil sa **** na tumulak sa kanya
tagalog,hindi iyan kinakain bobo ka talaga,|HINDI|RBF |IYAN|PRO kinakain|VBTR|VBOF |BOBO|JJD |KA|PRS |TALAGA|RBT,hindi **** kinakain **** ka talaga
cebuano,nagmamagaling kang inutil ka,nagmamagaling|VBTR|CCP kang|PRS|CCP |INUTIL|VBOF |KA|PRS,nagmamagaling kang inutil ka
bikol,Napaso siya sa kaldero dahil sa gago na tumulak sa kanya,|NAPASO|VBTS |SIYA|PRS |SA|CCT |KALDERO|NNC |DAHIL|CCR |SA|CCT |GAGO|NNC |NA|CCP |TUMULAK|VBAF |SA|CCT |KANYA|PRSP,Napaso siya sa kaldero dahil sa **** na tumulak sa kanya
cebuano,bogo ka kayo,|BOGO|RBM |KA|PRS |KAYO|PRP,bogo ka ****
cebuano,Pirteng buanga nimo hapit nako mamatay,Pirteng|NNP|CCP |BUANGA|FW |NIMO|FW |HAPIT|FW |NAKO|RBD |MAMATAY|VBW,Pirteng buanga nimo hapit nako mamatay
bikol,,,
cebuano,nagmamagaling kang inutil ka,nagmamagaling|VBTR|CCP kang|PRS|CCP |INUTIL|VBOF |KA|PRS,nagmamagaling kang inutil ka
bikol,lumakad kana lang kase tanga ka,|LUMAKAD|VBAF |KANA|JJD |LANG|RBI |KASE|CCR |TANGA|JJD |KA|PRS,lumakad kana lang kase ***** ka
bikol,tangina ang bobo ng kaibigan ko,|TANGINA|JJD |ANG|DTC |BOBO|NNC |NG|CCB |KAIBIGAN|NNC |KO|PRS,******* ang **** ng kaibigan ko
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka ****** wala ka na dapat dito sa mundo
bikol,tangina ang bobo ng kaibigan ko,|TANGINA|JJD |ANG|DTC |BOBO|NNC |NG|CCB |KAIBIGAN|NNC |KO|PRS,******* ang **** ng kaibigan ko
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka talaga wala ka na dapat dito sa mundo
bikol,tangina ang bobo ng kaibigan ko,|TANGINA|JJD |ANG|DTC |BOBO|NNC |NG|CCB |KAIBIGAN|NNC |KO|PRS,******* ang **** ng kaibigan ko
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka talaga wala ka na dapat dito sa mundo
bikol,umiiyak si Lottie dahil sa putangina niyang asawa,umiiyak|VBTR|VBAF |SI|DTP |LOTTIE|NNP |DAHIL|CCR |SA|CCT |PUTANGINA|NNC niyang|PRS|CCP |ASAWA|NNC,umiiyak si Lottie dahil sa ********* niyang asawa
cebuano,gago tumalon ka kasi agad kaya ka nalaglag,|GAGO|RBD tumalon|VBTS|VBAF |KA|PRS |KASI|CCR |AGAD|RBW |KAYA|CCR |KA|PRS |NALAGLAG|VBTS,**** tumalon ka kasi agad kaya ka nalaglag
bikol,Napaso siya sa kaldero dahil sa gago na tumulak sa kanya,|NAPASO|VBTS |SIYA|PRS |SA|CCT |KALDERO|NNC |DAHIL|CCR |SA|CCT |GAGO|NNC |NA|CCP |TUMULAK|VBAF |SA|CCT |KANYA|PRSP,Napaso siya sa kaldero dahil sa **** na tumulak sa kanya
